,home_team,game_date,umpire
0,LAA,2023-04-07,Brian Knight
1,LAA,2023-04-08,Tony Randazzo
2,LAA,2023-04-09,Alex MacKay
3,LAA,2023-04-10,Ramon D
4,LAA,2023-04-11,Alfonso Márquez
5,LAA,2023-04-12,Doug Eddings
6,LAA,2023-04-21,Phil Cuzzi
7,LAA,2023-04-22,Mark Ripperger
8,LAA,2023-04-23,Shane Livensparger
9,LAA,2023-04-24,Nate Tomlinson
10,LAA,2023-04-25,Sean Barber
11,LAA,2023-04-26,Jim Wolf
12,LAA,2023-04-27,Mike Muchlinski
13,LAA,2023-05-05,Ryan Blakney
14,LAA,2023-05-06,Brian O'Nora
15,LAA,2023-05-07,Nestor Ceja
16,LAA,2023-05-08,D.J. Reyburn
17,LAA,2023-05-09,John Libka
18,LAA,2023-05-10,Edwin Jimenez
19,LAA,2023-05-19,Bill Miller
20,LAA,2023-05-20,Roberto Ortiz
21,LAA,2023-05-21,Jeremy Riggs
22,LAA,2023-05-22,Ryan Blakney
23,LAA,2023-05-23,Marvin Hudson
24,LAA,2023-05-24,Hunter Wendelstedt
25,LAA,2023-05-26,Jeff Nelson
26,LAA,2023-05-27,CB Bucknor
27,LAA,2023-05-28,Chris Segal
28,LAA,2023-06-06,Adam Hamari
29,LAA,2023-06-07,Nick Mahrley
30,LAA,2023-06-08,Vic Carapazza
31,LAA,2023-06-09,Dan Bellino
32,LAA,2023-06-10,Phil Cuzzi
33,LAA,2023-06-11,Ryan Wills
34,LAA,2023-06-20,Sean Barber
35,LAA,2023-06-21,Alan Porter
36,LAA,2023-06-26,Bill Miller
37,LAA,2023-06-27,Roberto Ortiz
38,LAA,2023-06-28,Chad Whitson
39,LAA,2023-06-29,Rob Drake
40,LAA,2023-06-30,Ramon D
41,LAA,2023-07-01,Alfonso Márquez
42,LAA,2023-07-02,Doug Eddings
43,LAA,2023-07-14,Ron Kulpa
44,LAA,2023-07-15,Cory Blaser
45,LAA,2023-07-16,Carlos Torres
46,LAA,2023-07-17,John Tumpane
47,LAA,2023-07-18,Ryan Blakney
48,LAA,2023-07-19,Marvin Hudson
49,LAA,2023-07-21,Jim Wolf
50,LAA,2023-07-22,Mike Muchlinski
51,LAA,2023-07-23,Sean Barber
52,LAA,2023-08-03,Paul Clemons
53,LAA,2023-08-04,Adrian Johnson
54,LAA,2023-08-05,Quinn Wolcott
55,LAA,2023-08-06,Junior Valentine
56,LAA,2023-08-07,Jansen Visconti
57,LAA,2023-08-08,Cory Blaser
58,LAA,2023-08-09,Ron Kulpa
59,LAA,2023-08-18,Ryan Additon
60,LAA,2023-08-22,Nate Tomlinson
61,LAA,2023-09-04,Alfonso Márquez
62,LAA,2023-09-05,Doug Eddings
63,LAA,2023-09-06,Lance Barrett
64,LAA,2023-09-07,Brian O'Nora
65,LAA,2023-09-08,Pat Hoberg
66,LAA,2023-09-09,Tom Hanahan
67,LAA,2023-09-10,Nestor Ceja
68,LAA,2023-09-15,Jansen Visconti
69,LAA,2023-09-16,Paul Clemons
70,LAA,2023-09-17,Jeremy Riggs
71,LAA,2023-09-25,Todd Tichenor
72,LAA,2023-09-26,Alex Tosi
73,LAA,2023-09-27,Brian Knight
74,LAA,2023-09-29,Jeff Nelson
75,LAA,2023-09-30,Jose Navas
76,LAA,2023-10-01,Brian Walsh
