,home_team,game_date,umpire
0,AZ,2023-04-06,Ramon D
1,AZ,2023-04-07,Alfonso Márquez
2,AZ,2023-04-08,Doug Eddings
3,AZ,2023-04-09,Lance Barrett
4,AZ,2023-04-10,Scott Barry
5,AZ,2023-04-11,Clint Vondrak
6,AZ,2023-04-12,Gabe Morales
7,AZ,2023-04-20,Nate Tomlinson
8,AZ,2023-04-21,Alan Porter
9,AZ,2023-04-22,Jim Wolf
10,AZ,2023-04-23,Mike Muchlinski
11,AZ,2023-04-24,D.J. Reyburn
12,AZ,2023-04-25,John Libka
13,AZ,2023-04-26,Edwin Jimenez
14,AZ,2023-05-05,Bill Miller
15,AZ,2023-05-06,Chad Whitson
16,AZ,2023-05-07,Roberto Ortiz
17,AZ,2023-05-08,Mark Ripperger
18,AZ,2023-05-09,Shane Livensparger
19,AZ,2023-05-10,Dan Bellino
20,AZ,2023-05-11,Charlie Ramos
21,AZ,2023-05-12,Alfonso Márquez
22,AZ,2023-05-13,Ramon D
23,AZ,2023-05-14,Doug Eddings
24,AZ,2023-05-26,Shane Livensparger
25,AZ,2023-05-27,Dan Bellino
26,AZ,2023-05-28,Ryan Wills
27,AZ,2023-05-29,Hunter Wendelstedt
28,AZ,2023-05-30,John Tumpane
29,AZ,2023-05-31,Ryan Blakney
30,AZ,2023-06-01,Marvin Hudson
31,AZ,2023-06-02,Tony Randazzo
32,AZ,2023-06-03,Todd Tichenor
33,AZ,2023-06-04,Brian Knight
34,AZ,2023-06-12,Vic Carapazza
35,AZ,2023-06-13,Jerry Layne
36,AZ,2023-06-14,Adam Hamari
37,AZ,2023-06-15,Nick Mahrley
38,AZ,2023-06-16,Nestor Ceja
39,AZ,2023-06-17,Brian O'Nora
40,AZ,2023-06-18,Pat Hoberg
41,AZ,2023-06-27,Clint Vondrak
42,AZ,2023-06-28,John Libka
43,AZ,2023-06-29,James Hoye
44,AZ,2023-07-04,Will Little
45,AZ,2023-07-05,Lance Barksdale
46,AZ,2023-07-06,Tripp Gibson
47,AZ,2023-07-07,Adam Hamari
48,AZ,2023-07-08,Rob Drake
49,AZ,2023-07-09,Bill Miller
50,AZ,2023-07-24,James Hoye
51,AZ,2023-07-25,D.J. Reyburn
52,AZ,2023-07-26,Clint Vondrak
53,AZ,2023-07-28,Jeff Nelson
54,AZ,2023-07-29,Chris Segal
55,AZ,2023-07-30,CB Bucknor
56,AZ,2023-08-08,Adrian Johnson
57,AZ,2023-08-09,Manny Gonzalez
58,AZ,2023-08-11,Chad Whitson
59,AZ,2023-08-12,Roberto Ortiz
60,AZ,2023-08-13,Rob Drake
61,AZ,2023-08-21,Doug Eddings
62,AZ,2023-08-22,Alfonso Márquez
63,AZ,2023-08-24,CB Bucknor
64,AZ,2023-08-25,Derek Thomas
65,AZ,2023-08-26,Jeff Nelson
66,AZ,2023-08-27,Chris Segal
67,AZ,2023-09-01,Tom Hanahan
68,AZ,2023-09-02,Nestor Ceja
69,AZ,2023-09-03,Brian O'Nora
70,AZ,2023-09-04,Quinn Wolcott
71,AZ,2023-09-05,Charlie Ramos
72,AZ,2023-09-06,Adrian Johnson
73,AZ,2023-09-15,Chris Guccione
74,AZ,2023-09-16,Jeremie Rehak
75,AZ,2023-09-17,Junior Valentine
76,AZ,2023-09-19,Adam Beck
77,AZ,2023-09-20,Gabe Morales
78,AZ,2023-09-29,Adam Hamari
79,AZ,2023-09-30,Todd Tichenor
80,AZ,2023-10-01,Alex Tosi
