,home_team,game_date,umpire
0,ATL,2023-04-06,Jeremie Rehak
1,ATL,2023-04-07,Paul Emmel
2,ATL,2023-04-08,Chad Fairchild
3,ATL,2023-04-09,Nic Lentz
4,ATL,2023-04-10,John Tumpane
5,ATL,2023-04-11,Ryan Blakney
6,ATL,2023-04-12,Marvin Hudson
7,ATL,2023-04-21,Jeff Nelson
8,ATL,2023-04-22,CB Bucknor
9,ATL,2023-04-23,Chris Segal
10,ATL,2023-04-24,Alfonso Márquez
11,ATL,2023-04-25,Brian O'Nora
12,ATL,2023-04-26,Pat Hoberg
13,ATL,2023-04-27,Nestor Ceja
14,ATL,2023-05-05,Stu Scheurwater
15,ATL,2023-05-06,Malachi Moore
16,ATL,2023-05-07,Mark Wegner
17,ATL,2023-05-09,Cory Blaser
18,ATL,2023-05-10,Clint Vondrak
19,ATL,2023-05-19,Edwin Jimenez
20,ATL,2023-05-20,Edwin Moscoso
21,ATL,2023-05-21,Chris Guccione
22,ATL,2023-05-22,Alan Porter
23,ATL,2023-05-23,Jim Wolf
24,ATL,2023-05-24,Mike Muchlinski
25,ATL,2023-05-25,Gabe Morales
26,ATL,2023-05-26,Nate Tomlinson
27,ATL,2023-05-27,Adam Beck
28,ATL,2023-05-28,Dan Iassogna
29,ATL,2023-06-06,D.J. Reyburn
30,ATL,2023-06-07,John Libka
31,ATL,2023-06-08,Clint Vondrak
32,ATL,2023-06-09,Alex MacKay
33,ATL,2023-06-10,Stu Scheurwater
34,ATL,2023-06-11,Malachi Moore
35,ATL,2023-06-15,Roberto Ortiz
36,ATL,2023-06-16,Chad Whitson
37,ATL,2023-06-17,Rob Drake
38,ATL,2023-06-18,Mark Ripperger
39,ATL,2023-06-26,Alex Tosi
40,ATL,2023-06-27,Todd Tichenor
41,ATL,2023-06-28,Tom Hanahan
42,ATL,2023-06-30,Sean Barber
43,ATL,2023-07-01,Alan Porter
44,ATL,2023-07-02,Jim Wolf
45,ATL,2023-07-14,Lance Barksdale
46,ATL,2023-07-15,Dan Merzel
47,ATL,2023-07-16,Ryan Additon
48,ATL,2023-07-18,Pat Hoberg
49,ATL,2023-07-19,Nestor Ceja
50,ATL,2023-07-20,Brian O'Nora
51,ATL,2023-07-28,Ramon D
52,ATL,2023-07-29,Lance Barrett
53,ATL,2023-07-30,Alfonso Márquez
54,ATL,2023-07-31,Nic Lentz
55,ATL,2023-08-01,Jeremie Rehak
56,ATL,2023-08-02,Chad Fairchild
57,ATL,2023-08-14,Chris Segal
58,ATL,2023-08-15,CB Bucknor
59,ATL,2023-08-16,Ben May
60,ATL,2023-08-18,John Libka
61,ATL,2023-08-19,D.J. Reyburn
62,ATL,2023-08-20,Angel Hernandez
63,ATL,2023-08-21,Adrian Johnson
64,ATL,2023-08-22,Manny Gonzalez
65,ATL,2023-08-23,Charlie Ramos
66,ATL,2023-09-05,Andy Fletcher
67,ATL,2023-09-06,Erich Bacchus
68,ATL,2023-09-07,Laz Diaz
69,ATL,2023-09-08,Roberto Ortiz
70,ATL,2023-09-09,Rob Drake
71,ATL,2023-09-10,Bill Miller
72,ATL,2023-09-18,Laz Diaz
73,ATL,2023-09-19,Mike Estabrook
74,ATL,2023-09-20,Andy Fletcher
75,ATL,2023-09-26,Dan Bellino
76,ATL,2023-09-27,Shane Livensparger
77,ATL,2023-09-28,Mark Ripperger
78,ATL,2023-09-29,Dan Merzel
79,ATL,2023-09-30,Ryan Wills
80,ATL,2023-10-01,Vic Carapazza
