,home_team,game_date,umpire
0,BAL,2023-04-07,Chad Whitson
1,BAL,2023-04-08,Roberto Ortiz
2,BAL,2023-04-09,Bill Miller
3,BAL,2023-04-10,Malachi Moore
4,BAL,2023-04-11,Mark Wegner
5,BAL,2023-04-12,Bruce Dreckman
6,BAL,2023-04-13,Stu Scheurwater
7,BAL,2023-04-21,Brock Ballou
8,BAL,2023-04-22,Vic Carapazza
9,BAL,2023-04-23,Nick Mahrley
10,BAL,2023-04-24,Junior Valentine
11,BAL,2023-04-25,Adrian Johnson
12,BAL,2023-04-26,Manny Gonzalez
13,BAL,2023-05-08,Todd Tichenor
14,BAL,2023-05-09,Brian Knight
15,BAL,2023-05-10,Alex Tosi
16,BAL,2023-05-12,James Hoye
17,BAL,2023-05-13,D.J. Reyburn
18,BAL,2023-05-14,John Libka
19,BAL,2023-05-15,Brian O'Nora
20,BAL,2023-05-16,Pat Hoberg
21,BAL,2023-05-17,Emil Jimenez
22,BAL,2023-05-18,Nestor Ceja
23,BAL,2023-05-26,Jordan Baker
24,BAL,2023-05-27,Brennan Miller
25,BAL,2023-05-28,Mark Carlson
26,BAL,2023-05-29,Doug Eddings
27,BAL,2023-05-30,Alfonso Márquez
28,BAL,2023-05-31,Ramon D
29,BAL,2023-06-09,Scott Barry
30,BAL,2023-06-10,Gabe Morales
31,BAL,2023-06-11,Adam Beck
32,BAL,2023-06-13,Ron Kulpa
33,BAL,2023-06-14,Junior Valentine
34,BAL,2023-06-15,Carlos Torres
35,BAL,2023-06-23,Pat Hoberg
36,BAL,2023-06-24,Jacob Metz
37,BAL,2023-06-25,Nestor Ceja
38,BAL,2023-06-26,Ryan Additon
39,BAL,2023-06-27,Dan Merzel
40,BAL,2023-06-28,Will Little
41,BAL,2023-06-30,Erich Bacchus
42,BAL,2023-07-01,Andy Fletcher
43,BAL,2023-07-02,Mike Estabrook
44,BAL,2023-07-14,John Libka
45,BAL,2023-07-15,James Hoye
46,BAL,2023-07-16,D.J. Reyburn
47,BAL,2023-07-17,David Rackley
48,BAL,2023-07-18,Chris Guccione
49,BAL,2023-07-19,Edwin Moscoso
50,BAL,2023-07-28,Shane Livensparger
51,BAL,2023-07-29,Dan Bellino
52,BAL,2023-07-30,Phil Cuzzi
53,BAL,2023-08-04,Charlie Ramos
54,BAL,2023-08-05,Nic Lentz
55,BAL,2023-08-06,Jeremie Rehak
56,BAL,2023-08-08,Chris Guccione
57,BAL,2023-08-09,Edwin Moscoso
58,BAL,2023-08-10,David Rackley
59,BAL,2023-08-22,Gabe Morales
60,BAL,2023-08-23,Adam Beck
61,BAL,2023-08-24,Dan Iassogna
62,BAL,2023-08-25,Mark Ripperger
63,BAL,2023-08-26,Manny Gonzalez
64,BAL,2023-08-27,Dan Bellino
65,BAL,2023-08-28,Ron Kulpa
66,BAL,2023-08-29,Cory Blaser
67,BAL,2023-08-30,Carlos Torres
68,BAL,2023-09-11,Alan Porter
69,BAL,2023-09-12,Nate Tomlinson
70,BAL,2023-09-13,Sean Barber
71,BAL,2023-09-14,Nick Mahrley
72,BAL,2023-09-15,Vic Carapazza
73,BAL,2023-09-16,Adam Hamari
74,BAL,2023-09-17,Clint Vondrak
75,BAL,2023-09-26,Vic Carapazza
76,BAL,2023-09-27,Nick Mahrley
77,BAL,2023-09-28,Jim Wolf
78,BAL,2023-09-29,Alan Porter
79,BAL,2023-09-30,Mike Muchlinski
80,BAL,2023-10-01,Sean Barber
