,home_team,game_date,umpire
0,BOS,2023-03-30,Lance Barksdale
1,BOS,2023-04-01,Will Little
2,BOS,2023-04-02,Ryan Additon
3,BOS,2023-04-03,Adam Beck
4,BOS,2023-04-04,Dan Iassogna
5,BOS,2023-04-05,Scott Barry
6,BOS,2023-04-14,Ron Kulpa
7,BOS,2023-04-15,Cory Blaser
8,BOS,2023-04-16,Carlos Torres
9,BOS,2023-04-17,Jansen Visconti
10,BOS,2023-04-18,Jordan Baker
11,BOS,2023-04-19,Tripp Gibson
12,BOS,2023-04-20,Brennan Miller
13,BOS,2023-04-28,Chris Segal
14,BOS,2023-04-29,Ben May
15,BOS,2023-04-30,Jeff Nelson
16,BOS,2023-05-01,Dan Merzel
17,BOS,2023-05-02,Lance Barksdale
18,BOS,2023-05-03,Will Little
19,BOS,2023-05-04,Ryan Additon
20,BOS,2023-05-12,Nick Mahrley
21,BOS,2023-05-13,Derek Thomas
22,BOS,2023-05-14,Vic Carapazza
23,BOS,2023-05-15,Erich Bacchus
24,BOS,2023-05-16,Laz Diaz
25,BOS,2023-05-17,Mike Estabrook
26,BOS,2023-05-30,Sean Barber
27,BOS,2023-05-31,Alan Porter
28,BOS,2023-06-01,Jim Wolf
29,BOS,2023-06-04,Edwin Jimenez
30,BOS,2023-06-05,Chris Guccione
31,BOS,2023-06-12,Chad Fairchild
32,BOS,2023-06-13,Nic Lentz
33,BOS,2023-06-14,Charlie Ramos
34,BOS,2023-06-16,Hunter Wendelstedt
35,BOS,2023-06-27,Malachi Moore
36,BOS,2023-06-28,Dan Bellino
37,BOS,2023-06-29,Stu Scheurwater
38,BOS,2023-07-04,Sean Barber
39,BOS,2023-07-05,Alan Porter
40,BOS,2023-07-06,Jim Wolf
41,BOS,2023-07-07,Adrian Johnson
42,BOS,2023-07-08,Phil Cuzzi
43,BOS,2023-07-09,Emil Jimenez
44,BOS,2023-07-21,Doug Eddings
45,BOS,2023-07-22,Ramon D
46,BOS,2023-07-23,Brian Walsh
47,BOS,2023-07-25,Erich Bacchus
48,BOS,2023-07-26,Ryan Wills
49,BOS,2023-08-04,Rob Drake
50,BOS,2023-08-05,Bill Miller
51,BOS,2023-08-06,Chad Whitson
52,BOS,2023-08-07,Nick Mahrley
53,BOS,2023-08-08,Vic Carapazza
54,BOS,2023-08-09,Emil Jimenez
55,BOS,2023-08-10,Adam Hamari
56,BOS,2023-08-11,Jim Wolf
57,BOS,2023-08-12,Jeremy Riggs
58,BOS,2023-08-13,Mike Muchlinski
59,BOS,2023-08-25,Mark Carlson
60,BOS,2023-08-26,Jordan Baker
61,BOS,2023-08-27,Brennan Miller
62,BOS,2023-08-28,Dan Iassogna
63,BOS,2023-08-29,Clint Vondrak
64,BOS,2023-08-30,Gabe Morales
65,BOS,2023-09-08,Mike Estabrook
66,BOS,2023-09-09,Andy Fletcher
67,BOS,2023-09-10,Erich Bacchus
68,BOS,2023-09-22,Shane Livensparger
69,BOS,2023-09-23,Mark Ripperger
70,BOS,2023-09-24,David Arrieta
71,BOS,2023-09-26,Nic Lentz
72,BOS,2023-09-27,Jeremie Rehak
