,home_team,game_date,umpire
0,CWS,2023-04-03,James Hoye
1,CWS,2023-04-05,D.J. Reyburn
2,CWS,2023-04-06,John Libka
3,CWS,2023-04-14,Alex MacKay
4,CWS,2023-04-15,Todd Tichenor
5,CWS,2023-04-16,Brian Knight
6,CWS,2023-04-19,Ben May
7,CWS,2023-04-27,Alex MacKay
8,CWS,2023-04-28,Marvin Hudson
9,CWS,2023-04-29,Hunter Wendelstedt
10,CWS,2023-04-30,John Tumpane
11,CWS,2023-05-02,Dan Bellino
12,CWS,2023-05-03,Phil Cuzzi
13,CWS,2023-05-04,Mark Ripperger
14,CWS,2023-05-12,Mark Wegner
15,CWS,2023-05-13,Bruce Dreckman
16,CWS,2023-05-14,Stu Scheurwater
17,CWS,2023-05-16,Adam Beck
18,CWS,2023-05-17,Dan Iassogna
19,CWS,2023-05-18,Gabe Morales
20,CWS,2023-05-19,Ryan Wills
21,CWS,2023-05-20,Phil Cuzzi
22,CWS,2023-05-21,Shane Livensparger
23,CWS,2023-05-29,John Libka
24,CWS,2023-05-30,Clint Vondrak
25,CWS,2023-05-31,James Hoye
26,CWS,2023-06-02,Jansen Visconti
27,CWS,2023-06-03,Cory Blaser
28,CWS,2023-06-04,Ron Kulpa
29,CWS,2023-06-09,David Rackley
30,CWS,2023-06-10,Chris Guccione
31,CWS,2023-06-11,Nate Tomlinson
32,CWS,2023-06-19,James Hoye
33,CWS,2023-06-20,D.J. Reyburn
34,CWS,2023-06-21,Clint Vondrak
35,CWS,2023-06-23,Gabe Morales
36,CWS,2023-06-24,Adam Beck
37,CWS,2023-06-25,Dan Iassogna
38,CWS,2023-07-04,Nate Tomlinson
39,CWS,2023-07-07,Doug Eddings
40,CWS,2023-07-08,Lance Barrett
41,CWS,2023-07-09,Alfonso Márquez
42,CWS,2023-07-25,Nick Mahrley
43,CWS,2023-07-26,Vic Carapazza
44,CWS,2023-07-27,Tony Randazzo
45,CWS,2023-07-28,Alex Tosi
46,CWS,2023-07-29,Brian Knight
47,CWS,2023-07-30,Todd Tichenor
48,CWS,2023-08-07,Laz Diaz
49,CWS,2023-08-08,Mike Estabrook
50,CWS,2023-08-09,Andy Fletcher
51,CWS,2023-08-11,Carlos Torres
52,CWS,2023-08-12,Jansen Visconti
53,CWS,2023-08-13,Cory Blaser
54,CWS,2023-08-21,Shane Livensparger
55,CWS,2023-08-22,Dan Bellino
56,CWS,2023-08-23,Phil Cuzzi
57,CWS,2023-08-24,Ben May
58,CWS,2023-08-25,Larry Vanover
59,CWS,2023-08-26,Nate Tomlinson
60,CWS,2023-08-27,David Rackley
61,CWS,2023-09-01,Lance Barksdale
62,CWS,2023-09-02,Ramon D
63,CWS,2023-09-03,Will Little
64,CWS,2023-09-13,Nic Lentz
65,CWS,2023-09-14,Jim Wolf
66,CWS,2023-09-15,Alan Porter
67,CWS,2023-09-16,Nate Tomlinson
68,CWS,2023-09-17,Sean Barber
69,CWS,2023-09-26,Manny Gonzalez
70,CWS,2023-09-27,Adrian Johnson
71,CWS,2023-09-28,Junior Valentine
72,CWS,2023-09-29,Marvin Hudson
73,CWS,2023-09-30,John Tumpane
74,CWS,2023-10-01,Alex MacKay
