,home_team,game_date,umpire
0,CHC,2023-03-30,Ron Kulpa
1,CHC,2023-04-01,Cory Blaser
2,CHC,2023-04-02,Carlos Torres
3,CHC,2023-04-07,Nestor Ceja
4,CHC,2023-04-08,Charlie Ramos
5,CHC,2023-04-09,Brian O'Nora
6,CHC,2023-04-10,Junior Valentine
7,CHC,2023-04-11,Adrian Johnson
8,CHC,2023-04-12,Manny Gonzalez
9,CHC,2023-04-20,Ryan Wills
10,CHC,2023-04-21,Andy Fletcher
11,CHC,2023-04-22,Mike Estabrook
12,CHC,2023-04-23,Erich Bacchus
13,CHC,2023-04-25,Adam Beck
14,CHC,2023-04-26,Clint Vondrak
15,CHC,2023-04-27,Gabe Morales
16,CHC,2023-05-05,Sean Barber
17,CHC,2023-05-06,Jim Wolf
18,CHC,2023-05-07,Alan Porter
19,CHC,2023-05-08,CB Bucknor
20,CHC,2023-05-09,Ryan Wills
21,CHC,2023-05-10,Ben May
22,CHC,2023-05-23,Rob Drake
23,CHC,2023-05-24,Bill Miller
24,CHC,2023-05-25,Roberto Ortiz
25,CHC,2023-05-26,Adrian Johnson
26,CHC,2023-05-27,Manny Gonzalez
27,CHC,2023-05-28,Quinn Wolcott
28,CHC,2023-05-29,Dan Merzel
29,CHC,2023-05-30,Lance Barksdale
30,CHC,2023-05-31,Will Little
31,CHC,2023-06-13,John Tumpane
32,CHC,2023-06-14,Marvin Hudson
33,CHC,2023-06-15,Brian Walsh
34,CHC,2023-06-16,Tom Hanahan
35,CHC,2023-06-17,CB Bucknor
36,CHC,2023-06-18,Ben May
37,CHC,2023-06-27,Junior Valentine
38,CHC,2023-06-28,Jose Navas
39,CHC,2023-06-29,Mike Muchlinski
40,CHC,2023-06-30,Charlie Ramos
41,CHC,2023-07-01,Jeremie Rehak
42,CHC,2023-07-02,Chad Fairchild
43,CHC,2023-07-14,Chris Segal
44,CHC,2023-07-15,Jeff Nelson
45,CHC,2023-07-16,Ben May
46,CHC,2023-07-17,Clint Vondrak
47,CHC,2023-07-18,John Libka
48,CHC,2023-07-19,James Hoye
49,CHC,2023-07-20,Jansen Visconti
50,CHC,2023-07-21,Ron Kulpa
51,CHC,2023-07-22,Cory Blaser
52,CHC,2023-07-23,Brock Ballou
53,CHC,2023-07-31,Jordan Baker
54,CHC,2023-08-01,Mark Carlson
55,CHC,2023-08-02,Tripp Gibson
56,CHC,2023-08-03,Derek Thomas
57,CHC,2023-08-04,John Tumpane
58,CHC,2023-08-05,Ryan Blakney
59,CHC,2023-08-06,Marvin Hudson
60,CHC,2023-08-15,Mark Carlson
61,CHC,2023-08-16,Jordan Baker
62,CHC,2023-08-18,Rob Drake
63,CHC,2023-08-19,Bill Miller
64,CHC,2023-08-20,Chad Whitson
65,CHC,2023-08-28,James Hoye
66,CHC,2023-08-29,John Libka
67,CHC,2023-08-30,D.J. Reyburn
68,CHC,2023-09-04,Ron Kulpa
69,CHC,2023-09-05,Jansen Visconti
70,CHC,2023-09-06,Carlos Torres
71,CHC,2023-09-07,Malachi Moore
72,CHC,2023-09-08,Bruce Dreckman
73,CHC,2023-09-09,Stu Scheurwater
74,CHC,2023-09-10,Mark Wegner
75,CHC,2023-09-19,Jim Wolf
76,CHC,2023-09-20,Alan Porter
77,CHC,2023-09-21,Nate Tomlinson
78,CHC,2023-09-22,Dan Iassogna
79,CHC,2023-09-23,Adam Beck
80,CHC,2023-09-24,Junior Valentine
