,home_team,game_date,umpire
0,CIN,2023-03-30,Mark Wegner
1,CIN,2023-04-01,Bruce Dreckman
2,CIN,2023-04-02,Stu Scheurwater
3,CIN,2023-04-03,Bill Miller
4,CIN,2023-04-04,Rob Drake
5,CIN,2023-04-13,David Rackley
6,CIN,2023-04-14,Edwin Moscoso
7,CIN,2023-04-15,Jeremy Riggs
8,CIN,2023-04-16,Chris Guccione
9,CIN,2023-04-17,Andy Fletcher
10,CIN,2023-04-18,Mike Estabrook
11,CIN,2023-04-19,Erich Bacchus
12,CIN,2023-04-24,Will Little
13,CIN,2023-04-25,Ryan Additon
14,CIN,2023-04-26,Dan Merzel
15,CIN,2023-05-05,Brian Knight
16,CIN,2023-05-06,Alex Tosi
17,CIN,2023-05-07,Tony Randazzo
18,CIN,2023-05-09,Bruce Dreckman
19,CIN,2023-05-10,Stu Scheurwater
20,CIN,2023-05-11,Malachi Moore
21,CIN,2023-05-19,Brian O'Nora
22,CIN,2023-05-20,Pat Hoberg
23,CIN,2023-05-21,Emil Jimenez
24,CIN,2023-05-22,Lance Barksdale
25,CIN,2023-05-23,Will Little
26,CIN,2023-05-24,Ryan Additon
27,CIN,2023-05-25,Dan Merzel
28,CIN,2023-06-02,D.J. Reyburn
29,CIN,2023-06-03,John Libka
30,CIN,2023-06-04,Clint Vondrak
31,CIN,2023-06-05,James Hoye
32,CIN,2023-06-06,Carlos Torres
33,CIN,2023-06-07,Brock Ballou
34,CIN,2023-06-08,Ron Kulpa
35,CIN,2023-06-19,Alex Tosi
36,CIN,2023-06-20,Todd Tichenor
37,CIN,2023-06-21,Tony Randazzo
38,CIN,2023-06-23,Chad Fairchild
39,CIN,2023-06-24,Nic Lentz
40,CIN,2023-06-25,Brock Ballou
41,CIN,2023-06-30,Jeff Nelson
42,CIN,2023-07-01,Ryan Wills
43,CIN,2023-07-02,Chris Segal
44,CIN,2023-07-14,Nestor Ceja
45,CIN,2023-07-15,Brian O'Nora
46,CIN,2023-07-16,Edwin Jimenez
47,CIN,2023-07-17,Tom Hanahan
48,CIN,2023-07-18,Gabe Morales
49,CIN,2023-07-19,Adam Beck
50,CIN,2023-07-20,Dan Iassogna
51,CIN,2023-07-21,Nate Tomlinson
52,CIN,2023-07-22,David Rackley
53,CIN,2023-07-23,Chris Guccione
54,CIN,2023-08-04,Brian Knight
55,CIN,2023-08-05,John Libka
56,CIN,2023-08-06,Clint Vondrak
57,CIN,2023-08-07,Roberto Ortiz
58,CIN,2023-08-08,Rob Drake
59,CIN,2023-08-09,Bill Miller
60,CIN,2023-08-15,Alan Porter
61,CIN,2023-08-16,John Bacon
62,CIN,2023-08-18,Dan Bellino
63,CIN,2023-08-19,Phil Cuzzi
64,CIN,2023-08-20,Mark Ripperger
65,CIN,2023-09-02,Laz Diaz
66,CIN,2023-09-03,Mike Estabrook
67,CIN,2023-09-04,Marvin Hudson
68,CIN,2023-09-05,Derek Thomas
69,CIN,2023-09-06,John Tumpane
70,CIN,2023-09-08,Jordan Baker
71,CIN,2023-09-09,Brennan Miller
72,CIN,2023-09-10,Tripp Gibson
73,CIN,2023-09-18,Marvin Hudson
74,CIN,2023-09-19,Alex Tosi
75,CIN,2023-09-20,Ryan Blakney
76,CIN,2023-09-22,Bruce Dreckman
77,CIN,2023-09-23,Stu Scheurwater
78,CIN,2023-09-24,Mark Wegner
