,home_team,game_date,umpire
0,CLE,2023-04-07,Nate Tomlinson
1,CLE,2023-04-08,James Hoye
2,CLE,2023-04-09,D.J. Reyburn
3,CLE,2023-04-10,Larry Vanover
4,CLE,2023-04-11,Edwin Moscoso
5,CLE,2023-04-12,Chris Guccione
6,CLE,2023-04-23,Lance Barksdale
7,CLE,2023-04-24,Ramon D
8,CLE,2023-04-25,Doug Eddings
9,CLE,2023-04-26,Edwin Moscoso
10,CLE,2023-05-05,Dan Iassogna
11,CLE,2023-05-06,Gabe Morales
12,CLE,2023-05-07,Scott Barry
13,CLE,2023-05-08,Nick Mahrley
14,CLE,2023-05-09,Jerry Layne
15,CLE,2023-05-10,Adam Hamari
16,CLE,2023-05-12,Manny Gonzalez
17,CLE,2023-05-13,Junior Valentine
18,CLE,2023-05-14,Adrian Johnson
19,CLE,2023-05-22,Jeremie Rehak
20,CLE,2023-05-23,Chad Fairchild
21,CLE,2023-05-24,Nic Lentz
22,CLE,2023-05-26,Chris Guccione
23,CLE,2023-05-27,David Rackley
24,CLE,2023-05-28,Edwin Jimenez
25,CLE,2023-06-06,Stu Scheurwater
26,CLE,2023-06-07,Malachi Moore
27,CLE,2023-06-08,Andy Fletcher
28,CLE,2023-06-09,Laz Diaz
29,CLE,2023-06-10,Mike Estabrook
30,CLE,2023-06-11,Erich Bacchus
31,CLE,2023-06-20,Carlos Torres
32,CLE,2023-06-21,Brock Ballou
33,CLE,2023-06-22,Cory Blaser
34,CLE,2023-06-23,Dan Merzel
35,CLE,2023-06-24,Will Little
36,CLE,2023-06-25,Lance Barksdale
37,CLE,2023-07-03,Brian O'Nora
38,CLE,2023-07-04,Pat Hoberg
39,CLE,2023-07-05,Edwin Jimenez
40,CLE,2023-07-06,Mark Carlson
41,CLE,2023-07-07,Brennan Miller
42,CLE,2023-07-08,Derek Thomas
43,CLE,2023-07-09,Randy Rosenberg
44,CLE,2023-07-21,Tom Hanahan
45,CLE,2023-07-22,Gabe Morales
46,CLE,2023-07-23,Adam Beck
47,CLE,2023-07-24,Brian O'Nora
48,CLE,2023-07-25,Edwin Jimenez
49,CLE,2023-07-26,Pat Hoberg
50,CLE,2023-08-04,Bruce Dreckman
51,CLE,2023-08-05,Mark Wegner
52,CLE,2023-08-06,Stu Scheurwater
53,CLE,2023-08-07,Chad Fairchild
54,CLE,2023-08-08,Charlie Ramos
55,CLE,2023-08-09,Nic Lentz
56,CLE,2023-08-10,Jeremie Rehak
57,CLE,2023-08-19,CB Bucknor
58,CLE,2023-08-20,Ben May
59,CLE,2023-08-22,Mark Wegner
60,CLE,2023-08-23,Malachi Moore
61,CLE,2023-08-24,Bruce Dreckman
62,CLE,2023-09-01,Chris Segal
63,CLE,2023-09-02,CB Bucknor
64,CLE,2023-09-03,Ben May
65,CLE,2023-09-04,Chad Fairchild
66,CLE,2023-09-05,Nic Lentz
67,CLE,2023-09-06,Paul Clemons
68,CLE,2023-09-15,Lance Barrett
69,CLE,2023-09-16,Rob Drake
70,CLE,2023-09-17,Roberto Ortiz
71,CLE,2023-09-21,Tom Hanahan
72,CLE,2023-09-22,Nestor Ceja
73,CLE,2023-09-23,Brian O'Nora
74,CLE,2023-09-24,Chris Segal
75,CLE,2023-09-26,Mike Muchlinski
76,CLE,2023-09-27,Sean Barber
