,home_team,game_date,umpire
0,COL,2023-04-06,Cory Blaser
1,COL,2023-04-07,Carlos Torres
2,COL,2023-04-08,Jansen Visconti
3,COL,2023-04-09,Ron Kulpa
4,COL,2023-04-10,Shane Livensparger
5,COL,2023-04-11,Dan Bellino
6,COL,2023-04-12,Phil Cuzzi
7,COL,2023-04-17,Gabe Morales
8,COL,2023-04-18,Dan Iassogna
9,COL,2023-04-19,Adam Beck
10,COL,2023-04-28,Nic Lentz
11,COL,2023-04-29,Emil Jimenez
12,COL,2023-04-30,Paul Emmel
13,COL,2023-05-02,Edwin Jimenez
14,COL,2023-05-03,James Hoye
15,COL,2023-05-04,D.J. Reyburn
16,COL,2023-05-12,Jeff Nelson
17,COL,2023-05-13,Jordan Baker
18,COL,2023-05-14,Ryan Wills
19,COL,2023-05-15,Adam Hamari
20,COL,2023-05-16,Nick Mahrley
21,COL,2023-05-17,Vic Carapazza
22,COL,2023-05-22,Bruce Dreckman
23,COL,2023-05-23,Derek Thomas
24,COL,2023-05-24,Malachi Moore
25,COL,2023-05-25,Mark Wegner
26,COL,2023-05-26,Ron Kulpa
27,COL,2023-05-27,Carlos Torres
28,COL,2023-05-28,Jansen Visconti
29,COL,2023-06-06,Ryan Wills
30,COL,2023-06-07,Mark Ripperger
31,COL,2023-06-08,Shane Livensparger
32,COL,2023-06-09,Jerry Layne
33,COL,2023-06-10,Adam Hamari
34,COL,2023-06-11,Nick Mahrley
35,COL,2023-06-23,Edwin Moscoso
36,COL,2023-06-24,Nate Tomlinson
37,COL,2023-06-25,David Rackley
38,COL,2023-06-27,Doug Eddings
39,COL,2023-06-28,Lance Barrett
40,COL,2023-06-29,Alex MacKay
41,COL,2023-06-30,D.J. Reyburn
42,COL,2023-07-01,Clint Vondrak
43,COL,2023-07-02,John Libka
44,COL,2023-07-14,Adam Hamari
45,COL,2023-07-15,Nick Mahrley
46,COL,2023-07-16,Vic Carapazza
47,COL,2023-07-18,Charlie Ramos
48,COL,2023-07-19,Nic Lentz
49,COL,2023-07-28,Roberto Ortiz
50,COL,2023-07-29,Rob Drake
51,COL,2023-07-30,Bill Miller
52,COL,2023-07-31,Edwin Moscoso
53,COL,2023-08-01,David Rackley
54,COL,2023-08-02,Nate Tomlinson
55,COL,2023-08-14,Brian Knight
56,COL,2023-08-15,Todd Tichenor
57,COL,2023-08-16,Alex Tosi
58,COL,2023-08-18,Adam Beck
59,COL,2023-08-19,Dan Iassogna
60,COL,2023-08-20,Clint Vondrak
61,COL,2023-08-28,Lance Barrett
62,COL,2023-08-29,Ryan Blakney
63,COL,2023-08-30,Ryan Wills
64,COL,2023-09-01,Angel Hernandez
65,COL,2023-09-02,James Hoye
66,COL,2023-09-03,John Libka
67,COL,2023-09-11,Brian O'Nora
68,COL,2023-09-12,Pat Hoberg
69,COL,2023-09-13,Nestor Ceja
70,COL,2023-09-15,Will Little
71,COL,2023-09-17,Ryan Wills
72,COL,2023-09-27,CB Bucknor
73,COL,2023-09-28,Ben May
74,COL,2023-09-29,Edwin Moscoso
75,COL,2023-09-30,Chris Guccione
76,COL,2023-10-01,David Rackley
