,home_team,game_date,umpire
0,DET,2023-04-06,Edwin Moscoso
1,DET,2023-04-08,Chris Guccione
2,DET,2023-04-09,David Rackley
3,DET,2023-04-14,Malachi Moore
4,DET,2023-04-15,Mark Wegner
5,DET,2023-04-19,Todd Tichenor
6,DET,2023-04-27,Charlie Ramos
7,DET,2023-04-30,Doug Eddings
8,DET,2023-05-04,Adam Beck
9,DET,2023-05-12,Tony Randazzo
10,DET,2023-05-13,Todd Tichenor
11,DET,2023-05-14,Brian Knight
12,DET,2023-05-16,Paul Emmel
13,DET,2023-05-17,Nic Lentz
14,DET,2023-05-25,Sean Barber
15,DET,2023-05-26,Alan Porter
16,DET,2023-05-27,Jim Wolf
17,DET,2023-05-28,Mike Muchlinski
18,DET,2023-05-29,Charlie Ramos
19,DET,2023-05-30,Jeremie Rehak
20,DET,2023-05-31,Chad Fairchild
21,DET,2023-06-09,James Hoye
22,DET,2023-06-10,D.J. Reyburn
23,DET,2023-06-11,John Libka
24,DET,2023-06-12,Jordan Baker
25,DET,2023-06-19,Will Little
26,DET,2023-06-20,Lance Barksdale
27,DET,2023-06-21,Ryan Additon
28,DET,2023-06-23,Lance Barrett
29,DET,2023-06-24,Alex MacKay
30,DET,2023-06-25,Alfonso Márquez
31,DET,2023-07-04,Bill Miller
32,DET,2023-07-05,Roberto Ortiz
33,DET,2023-07-06,Chad Whitson
34,DET,2023-07-07,Jeremy Riggs
35,DET,2023-07-08,Erich Bacchus
36,DET,2023-07-09,Andy Fletcher
37,DET,2023-07-21,Brian Knight
38,DET,2023-07-22,Todd Tichenor
39,DET,2023-07-23,Tony Randazzo
40,DET,2023-07-24,Alex Tosi
41,DET,2023-07-25,Tripp Gibson
42,DET,2023-08-04,Mark Ripperger
43,DET,2023-08-05,Shane Livensparger
44,DET,2023-08-06,Dan Bellino
45,DET,2023-08-07,Pat Hoberg
46,DET,2023-08-08,Nestor Ceja
47,DET,2023-08-09,Nate Tomlinson
48,DET,2023-08-10,Brian O'Nora
49,DET,2023-08-21,Carlos Torres
50,DET,2023-08-22,Jansen Visconti
51,DET,2023-08-23,John Bacon
52,DET,2023-08-25,Laz Diaz
53,DET,2023-08-26,Mike Estabrook
54,DET,2023-08-27,Andy Fletcher
55,DET,2023-08-28,Vic Carapazza
56,DET,2023-08-29,Adam Hamari
57,DET,2023-08-30,Nick Mahrley
58,DET,2023-08-31,Jacob Metz
59,DET,2023-09-08,Marvin Hudson
60,DET,2023-09-09,Derek Thomas
61,DET,2023-09-10,Emil Jimenez
62,DET,2023-09-12,Adrian Johnson
63,DET,2023-09-13,Manny Gonzalez
64,DET,2023-09-14,Quinn Wolcott
65,DET,2023-09-26,John Tumpane
66,DET,2023-09-27,Alex MacKay
67,DET,2023-09-28,Brock Ballou
68,DET,2023-09-29,John Libka
69,DET,2023-09-30,Angel Hernandez
70,DET,2023-10-01,John Bacon
