,home_team,game_date,umpire
0,HOU,2023-03-30,Bill Miller
1,HOU,2023-03-31,Rob Drake
2,HOU,2023-04-01,Chad Whitson
3,HOU,2023-04-02,Roberto Ortiz
4,HOU,2023-04-03,Ben May
5,HOU,2023-04-04,Jeff Nelson
6,HOU,2023-04-05,CB Bucknor
7,HOU,2023-04-14,Laz Diaz
8,HOU,2023-04-15,Erich Bacchus
9,HOU,2023-04-16,Ryan Wills
10,HOU,2023-04-17,Pat Hoberg
11,HOU,2023-04-18,Nestor Ceja
12,HOU,2023-04-19,Alex MacKay
13,HOU,2023-04-28,Lance Barksdale
14,HOU,2023-04-29,Will Little
15,HOU,2023-04-30,Ryan Additon
16,HOU,2023-05-01,Malachi Moore
17,HOU,2023-05-02,Mark Wegner
18,HOU,2023-05-03,Bruce Dreckman
19,HOU,2023-05-15,Edwin Moscoso
20,HOU,2023-05-16,Chris Guccione
21,HOU,2023-05-17,David Rackley
22,HOU,2023-05-19,Brennan Miller
23,HOU,2023-05-20,Mark Carlson
24,HOU,2023-05-21,Tripp Gibson
25,HOU,2023-05-29,Vic Carapazza
26,HOU,2023-05-30,Jerry Layne
27,HOU,2023-05-31,Adam Hamari
28,HOU,2023-06-01,Stu Scheurwater
29,HOU,2023-06-02,Malachi Moore
30,HOU,2023-06-03,Mark Wegner
31,HOU,2023-06-04,Bruce Dreckman
32,HOU,2023-06-13,Tony Randazzo
33,HOU,2023-06-14,Jeremy Riggs
34,HOU,2023-06-15,Brian Knight
35,HOU,2023-06-16,Vic Carapazza
36,HOU,2023-06-17,Jerry Layne
37,HOU,2023-06-18,Adam Hamari
38,HOU,2023-06-19,Jacob Metz
39,HOU,2023-06-20,Nestor Ceja
40,HOU,2023-06-21,Brian O'Nora
41,HOU,2023-07-04,Derek Thomas
42,HOU,2023-07-05,Jordan Baker
43,HOU,2023-07-06,Nestor Ceja
44,HOU,2023-07-07,Brian O'Nora
45,HOU,2023-07-08,Pat Hoberg
46,HOU,2023-07-09,Edwin Jimenez
47,HOU,2023-07-24,Dan Bellino
48,HOU,2023-07-25,Phil Cuzzi
49,HOU,2023-07-26,Mark Ripperger
50,HOU,2023-07-28,Mark Carlson
51,HOU,2023-07-29,Tripp Gibson
52,HOU,2023-07-30,Derek Thomas
53,HOU,2023-07-31,Adrian Johnson
54,HOU,2023-08-01,Quinn Wolcott
55,HOU,2023-08-02,Junior Valentine
56,HOU,2023-08-11,Alfonso Márquez
57,HOU,2023-08-12,Ramon D
58,HOU,2023-08-13,Lance Barrett
59,HOU,2023-08-18,Alex MacKay
60,HOU,2023-08-19,Bruce Dreckman
61,HOU,2023-08-20,Stu Scheurwater
62,HOU,2023-08-21,Brian O'Nora
63,HOU,2023-08-22,Pat Hoberg
64,HOU,2023-08-23,Tom Hanahan
65,HOU,2023-08-24,Nestor Ceja
66,HOU,2023-09-01,Nic Lentz
67,HOU,2023-09-02,Paul Clemons
68,HOU,2023-09-03,Jeremie Rehak
69,HOU,2023-09-08,Manny Gonzalez
70,HOU,2023-09-09,Quinn Wolcott
71,HOU,2023-09-10,Charlie Ramos
72,HOU,2023-09-11,Vic Carapazza
73,HOU,2023-09-12,Adam Hamari
74,HOU,2023-09-13,Clint Vondrak
75,HOU,2023-09-18,Chad Fairchild
76,HOU,2023-09-19,Phil Cuzzi
77,HOU,2023-09-20,Jeremie Rehak
78,HOU,2023-09-22,Ryan Wills
79,HOU,2023-09-23,Will Little
80,HOU,2023-09-24,Ryan Additon
