,home_team,game_date,umpire
0,LAD,2023-03-30,Marvin Hudson
1,LAD,2023-03-31,Hunter Wendelstedt
2,LAD,2023-04-01,John Tumpane
3,LAD,2023-04-02,Ryan Blakney
4,LAD,2023-04-03,Mark Carlson
5,LAD,2023-04-04,Jordan Baker
6,LAD,2023-04-14,Jim Wolf
7,LAD,2023-04-15,Mike Muchlinski
8,LAD,2023-04-16,Sean Barber
9,LAD,2023-04-17,Mark Ripperger
10,LAD,2023-04-18,Shane Livensparger
11,LAD,2023-04-19,Dan Bellino
12,LAD,2023-04-28,Nate Tomlinson
13,LAD,2023-04-29,Sean Barber
14,LAD,2023-04-30,Jim Wolf
15,LAD,2023-05-01,David Rackley
16,LAD,2023-05-02,Jeremy Riggs
17,LAD,2023-05-03,Edwin Moscoso
18,LAD,2023-05-12,Jeremy Riggs
19,LAD,2023-05-13,Rob Drake
20,LAD,2023-05-14,Bill Miller
21,LAD,2023-05-15,Phil Cuzzi
22,LAD,2023-05-16,Shane Livensparger
23,LAD,2023-05-17,Dan Bellino
24,LAD,2023-05-29,Todd Tichenor
25,LAD,2023-05-30,Brian Knight
26,LAD,2023-05-31,Alex Tosi
27,LAD,2023-06-02,Hunter Wendelstedt
28,LAD,2023-06-03,John Tumpane
29,LAD,2023-06-04,Ryan Blakney
30,LAD,2023-06-13,Brian O'Nora
31,LAD,2023-06-14,Pat Hoberg
32,LAD,2023-06-15,Jacob Metz
33,LAD,2023-06-16,Nate Tomlinson
34,LAD,2023-06-17,Chris Segal
35,LAD,2023-06-18,David Rackley
36,LAD,2023-06-23,Jose Navas
37,LAD,2023-06-24,Manny Gonzalez
38,LAD,2023-06-25,Quinn Wolcott
39,LAD,2023-07-03,James Hoye
40,LAD,2023-07-04,D.J. Reyburn
41,LAD,2023-07-05,Clint Vondrak
42,LAD,2023-07-06,John Libka
43,LAD,2023-07-07,Brian Walsh
44,LAD,2023-07-08,Will Little
45,LAD,2023-07-24,Chris Segal
46,LAD,2023-07-25,CB Bucknor
47,LAD,2023-07-26,Ben May
48,LAD,2023-07-28,Marvin Hudson
49,LAD,2023-07-29,Hunter Wendelstedt
50,LAD,2023-07-30,John Tumpane
51,LAD,2023-08-01,Ryan Additon
52,LAD,2023-08-02,Will Little
53,LAD,2023-08-03,Lance Barksdale
54,LAD,2023-08-10,Erich Bacchus
55,LAD,2023-08-11,Laz Diaz
56,LAD,2023-08-12,Mike Estabrook
57,LAD,2023-08-13,Andy Fletcher
58,LAD,2023-08-15,Will Little
59,LAD,2023-08-16,Dan Merzel
60,LAD,2023-08-17,Chris Guccione
61,LAD,2023-08-18,Ramon D
62,LAD,2023-08-28,Chris Guccione
63,LAD,2023-08-29,Brian Knight
64,LAD,2023-08-30,Alex Tosi
65,LAD,2023-08-31,Dan Bellino
66,LAD,2023-09-01,Phil Cuzzi
67,LAD,2023-09-02,Mark Ripperger
68,LAD,2023-09-03,Shane Livensparger
69,LAD,2023-09-11,Cory Blaser
70,LAD,2023-09-12,Jeremy Riggs
71,LAD,2023-09-13,Ron Kulpa
72,LAD,2023-09-18,Mark Ripperger
73,LAD,2023-09-19,David Arrieta
74,LAD,2023-09-20,Dan Bellino
75,LAD,2023-09-21,Erich Bacchus
76,LAD,2023-09-22,Laz Diaz
77,LAD,2023-09-23,Mike Estabrook
78,LAD,2023-09-24,Andy Fletcher
