,home_team,game_date,umpire
0,MIA,2023-03-30,Larry Vanover
1,MIA,2023-03-31,Chris Guccione
2,MIA,2023-04-01,David Rackley
3,MIA,2023-04-02,Edwin Moscoso
4,MIA,2023-04-03,Mike Estabrook
5,MIA,2023-04-04,Laz Diaz
6,MIA,2023-04-05,Andy Fletcher
7,MIA,2023-04-14,Jeremie Rehak
8,MIA,2023-04-15,Paul Emmel
9,MIA,2023-04-16,Chad Fairchild
10,MIA,2023-04-17,Doug Eddings
11,MIA,2023-04-18,Lance Barrett
12,MIA,2023-04-19,Charlie Ramos
13,MIA,2023-04-28,Roberto Ortiz
14,MIA,2023-04-29,Rob Drake
15,MIA,2023-04-30,Bill Miller
16,MIA,2023-05-02,Lance Barrett
17,MIA,2023-05-03,Charlie Ramos
18,MIA,2023-05-04,Ramon D
19,MIA,2023-05-12,Carlos Torres
20,MIA,2023-05-13,Jansen Visconti
21,MIA,2023-05-14,Cory Blaser
22,MIA,2023-05-16,Mark Carlson
23,MIA,2023-05-17,Tripp Gibson
24,MIA,2023-05-18,Jordan Baker
25,MIA,2023-05-30,Jordan Baker
26,MIA,2023-05-31,Brennan Miller
27,MIA,2023-06-01,Nate Tomlinson
28,MIA,2023-06-02,Lance Barrett
29,MIA,2023-06-03,Doug Eddings
30,MIA,2023-06-04,Alfonso Márquez
31,MIA,2023-06-05,Roberto Ortiz
32,MIA,2023-06-06,Chad Whitson
33,MIA,2023-06-07,Rob Drake
34,MIA,2023-06-19,Vic Carapazza
35,MIA,2023-06-20,Tom Hanahan
36,MIA,2023-06-21,Nick Mahrley
37,MIA,2023-06-22,Edwin Jimenez
38,MIA,2023-06-23,Alex Tosi
39,MIA,2023-06-24,Todd Tichenor
40,MIA,2023-06-25,Tony Randazzo
41,MIA,2023-07-03,CB Bucknor
42,MIA,2023-07-04,Ben May
43,MIA,2023-07-05,Jeff Nelson
44,MIA,2023-07-06,Ryan Wills
45,MIA,2023-07-07,Chris Guccione
46,MIA,2023-07-08,Nate Tomlinson
47,MIA,2023-07-09,Edwin Moscoso
48,MIA,2023-07-21,Ryan Wills
49,MIA,2023-07-22,Mike Estabrook
50,MIA,2023-07-23,Andy Fletcher
51,MIA,2023-07-28,Cory Blaser
52,MIA,2023-07-29,Jansen Visconti
53,MIA,2023-07-30,Carlos Torres
54,MIA,2023-07-31,Mark Ripperger
55,MIA,2023-08-01,Shane Livensparger
56,MIA,2023-08-02,Dan Bellino
57,MIA,2023-08-03,Phil Cuzzi
58,MIA,2023-08-11,D.J. Reyburn
59,MIA,2023-08-12,Angel Hernandez
60,MIA,2023-08-13,James Hoye
61,MIA,2023-08-14,Manny Gonzalez
62,MIA,2023-08-15,Junior Valentine
63,MIA,2023-08-16,Quinn Wolcott
64,MIA,2023-08-25,Brian O'Nora
65,MIA,2023-08-26,Pat Hoberg
66,MIA,2023-08-27,Tom Hanahan
67,MIA,2023-08-29,Will Little
68,MIA,2023-08-30,Ryan Additon
69,MIA,2023-09-05,D.J. Reyburn
70,MIA,2023-09-06,Angel Hernandez
71,MIA,2023-09-07,James Hoye
72,MIA,2023-09-15,Charlie Ramos
73,MIA,2023-09-16,Adrian Johnson
74,MIA,2023-09-17,Quinn Wolcott
75,MIA,2023-09-18,Nestor Ceja
76,MIA,2023-09-19,Brian O'Nora
77,MIA,2023-09-20,Chris Segal
78,MIA,2023-09-22,Roberto Ortiz
79,MIA,2023-09-23,Bill Miller
80,MIA,2023-09-24,Lance Barrett
