,home_team,game_date,umpire
0,MIL,2023-04-03,Alan Porter
1,MIL,2023-04-04,Jim Wolf
2,MIL,2023-04-05,Mike Muchlinski
3,MIL,2023-04-07,Adam Hamari
4,MIL,2023-04-08,Jerry Layne
5,MIL,2023-04-09,Vic Carapazza
6,MIL,2023-04-21,Alfonso Márquez
7,MIL,2023-04-22,Doug Eddings
8,MIL,2023-04-23,Lance Barrett
9,MIL,2023-04-24,Marvin Hudson
10,MIL,2023-04-25,Hunter Wendelstedt
11,MIL,2023-04-26,John Tumpane
12,MIL,2023-04-28,Scott Barry
13,MIL,2023-04-29,Adam Beck
14,MIL,2023-04-30,Clint Vondrak
15,MIL,2023-05-08,Alfonso Márquez
16,MIL,2023-05-09,Ramon D
17,MIL,2023-05-10,Doug Eddings
18,MIL,2023-05-12,Mark Carlson
19,MIL,2023-05-13,Tripp Gibson
20,MIL,2023-05-14,Brennan Miller
21,MIL,2023-05-22,Dan Bellino
22,MIL,2023-05-23,Ryan Wills
23,MIL,2023-05-24,Mark Ripperger
24,MIL,2023-05-25,Charlie Ramos
25,MIL,2023-05-26,Jeremie Rehak
26,MIL,2023-05-27,Chad Fairchild
27,MIL,2023-05-28,Nic Lentz
28,MIL,2023-06-06,Marvin Hudson
29,MIL,2023-06-07,Hunter Wendelstedt
30,MIL,2023-06-08,Brian Walsh
31,MIL,2023-06-09,Ben May
32,MIL,2023-06-10,Jeff Nelson
33,MIL,2023-06-11,Tom Hanahan
34,MIL,2023-06-16,Ramon D
35,MIL,2023-06-17,Lance Barrett
36,MIL,2023-06-18,Doug Eddings
37,MIL,2023-06-19,Bruce Dreckman
38,MIL,2023-06-20,Stu Scheurwater
39,MIL,2023-06-21,Derek Thomas
40,MIL,2023-07-03,Jeremy Riggs
41,MIL,2023-07-04,Erich Bacchus
42,MIL,2023-07-05,Andy Fletcher
43,MIL,2023-07-06,Mike Estabrook
44,MIL,2023-07-07,Ryan Blakney
45,MIL,2023-07-08,John Tumpane
46,MIL,2023-07-09,David Rackley
47,MIL,2023-07-21,Mark Wegner
48,MIL,2023-07-22,Malachi Moore
49,MIL,2023-07-23,Bruce Dreckman
50,MIL,2023-07-24,Junior Valentine
51,MIL,2023-07-25,Manny Gonzalez
52,MIL,2023-07-26,Adrian Johnson
53,MIL,2023-08-03,Chris Guccione
54,MIL,2023-08-04,Edwin Moscoso
55,MIL,2023-08-05,David Rackley
56,MIL,2023-08-06,Nate Tomlinson
57,MIL,2023-08-07,Malachi Moore
58,MIL,2023-08-08,Bruce Dreckman
59,MIL,2023-08-09,John Tumpane
60,MIL,2023-08-22,Jeff Nelson
61,MIL,2023-08-23,Chris Segal
62,MIL,2023-08-25,Dan Merzel
63,MIL,2023-08-26,Lance Barksdale
64,MIL,2023-08-27,Ramon D
65,MIL,2023-09-01,John Tumpane
66,MIL,2023-09-02,Hunter Wendelstedt
67,MIL,2023-09-03,Cory Blaser
68,MIL,2023-09-11,Mark Carlson
69,MIL,2023-09-12,Jordan Baker
70,MIL,2023-09-13,Alex MacKay
71,MIL,2023-09-14,Brennan Miller
72,MIL,2023-09-15,Brian O'Nora
73,MIL,2023-09-16,Tom Hanahan
74,MIL,2023-09-17,Pat Hoberg
75,MIL,2023-09-26,Cory Blaser
76,MIL,2023-09-27,Jeremy Riggs
77,MIL,2023-09-28,Carlos Torres
78,MIL,2023-09-29,Mark Wegner
79,MIL,2023-09-30,Malachi Moore
80,MIL,2023-10-01,Bruce Dreckman
