,home_team,game_date,umpire
0,MIN,2023-04-07,Tripp Gibson
1,MIN,2023-04-08,Brennan Miller
2,MIN,2023-04-09,Mark Carlson
3,MIN,2023-04-10,Mike Muchlinski
4,MIN,2023-04-11,Sean Barber
5,MIN,2023-04-12,Alan Porter
6,MIN,2023-04-21,Brian O'Nora
7,MIN,2023-04-22,Pat Hoberg
8,MIN,2023-04-23,Nestor Ceja
9,MIN,2023-04-24,Rob Drake
10,MIN,2023-04-25,Bill Miller
11,MIN,2023-04-26,Chad Whitson
12,MIN,2023-04-27,Nick Mahrley
13,MIN,2023-04-28,Jerry Layne
14,MIN,2023-04-29,Brock Ballou
15,MIN,2023-04-30,Vic Carapazza
16,MIN,2023-05-09,Tripp Gibson
17,MIN,2023-05-10,Brennan Miller
18,MIN,2023-05-11,Brock Ballou
19,MIN,2023-05-12,Pat Hoberg
20,MIN,2023-05-13,Emil Jimenez
21,MIN,2023-05-14,Chris Segal
22,MIN,2023-05-22,Alex Tosi
23,MIN,2023-05-23,Tony Randazzo
24,MIN,2023-05-24,Todd Tichenor
25,MIN,2023-05-26,Bruce Dreckman
26,MIN,2023-05-27,Stu Scheurwater
27,MIN,2023-05-28,Malachi Moore
28,MIN,2023-06-01,Ryan Additon
29,MIN,2023-06-02,Dan Merzel
30,MIN,2023-06-03,Lance Barksdale
31,MIN,2023-06-04,Will Little
32,MIN,2023-06-13,Mark Ripperger
33,MIN,2023-06-14,Dan Bellino
34,MIN,2023-06-15,Adam Beck
35,MIN,2023-06-16,Dan Iassogna
36,MIN,2023-06-17,Ryan Wills
37,MIN,2023-06-18,Gabe Morales
38,MIN,2023-06-19,Edwin Moscoso
39,MIN,2023-06-20,Nate Tomlinson
40,MIN,2023-06-21,David Rackley
41,MIN,2023-06-22,Chris Guccione
42,MIN,2023-07-03,Shane Livensparger
43,MIN,2023-07-04,Mark Ripperger
44,MIN,2023-07-05,Phil Cuzzi
45,MIN,2023-07-07,Mike Muchlinski
46,MIN,2023-07-08,Ben May
47,MIN,2023-07-09,Jeff Nelson
48,MIN,2023-07-21,D.J. Reyburn
49,MIN,2023-07-22,Clint Vondrak
50,MIN,2023-07-23,John Libka
51,MIN,2023-07-24,Rob Drake
52,MIN,2023-07-25,Bill Miller
53,MIN,2023-07-26,Chad Whitson
54,MIN,2023-08-04,Vic Carapazza
55,MIN,2023-08-05,Emil Jimenez
56,MIN,2023-08-06,Adam Hamari
57,MIN,2023-08-15,Clint Vondrak
58,MIN,2023-08-16,Gabe Morales
59,MIN,2023-08-18,Andy Fletcher
60,MIN,2023-08-19,Erich Bacchus
61,MIN,2023-08-20,Laz Diaz
62,MIN,2023-08-24,Cory Blaser
63,MIN,2023-08-25,Carlos Torres
64,MIN,2023-08-26,Jansen Visconti
65,MIN,2023-08-27,John Bacon
66,MIN,2023-08-28,Hunter Wendelstedt
67,MIN,2023-08-29,Derek Thomas
68,MIN,2023-08-30,Jose Navas
69,MIN,2023-09-08,Cory Blaser
70,MIN,2023-09-09,Ron Kulpa
71,MIN,2023-09-10,Jansen Visconti
72,MIN,2023-09-11,Dan Iassogna
73,MIN,2023-09-12,Adam Beck
74,MIN,2023-09-13,Gabe Morales
75,MIN,2023-09-22,Charlie Ramos
76,MIN,2023-09-23,Chad Fairchild
77,MIN,2023-09-24,Phil Cuzzi
78,MIN,2023-09-26,Nestor Ceja
79,MIN,2023-09-27,Lance Barrett
80,MIN,2023-09-28,David Arrieta
