,home_team,game_date,umpire
0,NYY,2023-03-30,Laz Diaz
1,NYY,2023-04-01,Andy Fletcher
2,NYY,2023-04-02,Erich Bacchus
3,NYY,2023-04-03,Paul Emmel
4,NYY,2023-04-04,Chad Fairchild
5,NYY,2023-04-05,Nic Lentz
6,NYY,2023-04-13,D.J. Reyburn
7,NYY,2023-04-14,John Libka
8,NYY,2023-04-15,Nate Tomlinson
9,NYY,2023-04-16,James Hoye
10,NYY,2023-04-18,Dan Merzel
11,NYY,2023-04-19,Lance Barksdale
12,NYY,2023-04-20,Will Little
13,NYY,2023-04-21,Adrian Johnson
14,NYY,2023-04-22,Manny Gonzalez
15,NYY,2023-04-23,Quinn Wolcott
16,NYY,2023-05-01,Carlos Torres
17,NYY,2023-05-02,Jansen Visconti
18,NYY,2023-05-03,Cory Blaser
19,NYY,2023-05-08,Mike Estabrook
20,NYY,2023-05-09,Andy Fletcher
21,NYY,2023-05-10,Erich Bacchus
22,NYY,2023-05-11,Alan Porter
23,NYY,2023-05-12,Nate Tomlinson
24,NYY,2023-05-13,Sean Barber
25,NYY,2023-05-14,Mike Muchlinski
26,NYY,2023-05-23,David Rackley
27,NYY,2023-05-24,Edwin Jimenez
28,NYY,2023-05-25,Edwin Moscoso
29,NYY,2023-05-26,Chad Whitson
30,NYY,2023-05-27,Rob Drake
31,NYY,2023-05-28,Bill Miller
32,NYY,2023-06-06,Ryan Additon
33,NYY,2023-06-09,Jeremy Riggs
34,NYY,2023-06-10,Brian Knight
35,NYY,2023-06-11,Alex Tosi
36,NYY,2023-06-20,Dan Bellino
37,NYY,2023-06-21,Phil Cuzzi
38,NYY,2023-06-22,Shane Livensparger
39,NYY,2023-06-23,Andy Fletcher
40,NYY,2023-06-24,Carlos Torres
41,NYY,2023-06-25,John Bacon
42,NYY,2023-07-03,Tom Hanahan
43,NYY,2023-07-04,Gabe Morales
44,NYY,2023-07-05,Adam Beck
45,NYY,2023-07-06,Dan Iassogna
46,NYY,2023-07-07,Sean Barber
47,NYY,2023-07-08,Alan Porter
48,NYY,2023-07-09,Alex MacKay
49,NYY,2023-07-21,Brennan Miller
50,NYY,2023-07-22,Lance Barrett
51,NYY,2023-07-23,Mark Carlson
52,NYY,2023-07-25,Alfonso Márquez
53,NYY,2023-07-26,Doug Eddings
54,NYY,2023-07-31,Stu Scheurwater
55,NYY,2023-08-01,Mark Wegner
56,NYY,2023-08-02,Malachi Moore
57,NYY,2023-08-03,Todd Tichenor
58,NYY,2023-08-04,Tony Randazzo
59,NYY,2023-08-05,Alex Tosi
60,NYY,2023-08-06,Angel Hernandez
61,NYY,2023-08-18,Manny Gonzalez
62,NYY,2023-08-19,Charlie Ramos
63,NYY,2023-08-20,Junior Valentine
64,NYY,2023-08-22,Lance Barksdale
65,NYY,2023-08-23,Ramon D
66,NYY,2023-08-24,Will Little
67,NYY,2023-09-05,Sean Barber
68,NYY,2023-09-06,Mike Muchlinski
69,NYY,2023-09-07,Alan Porter
70,NYY,2023-09-08,John Libka
71,NYY,2023-09-09,D.J. Reyburn
72,NYY,2023-09-10,Angel Hernandez
73,NYY,2023-09-19,Bill Miller
74,NYY,2023-09-20,Lance Barrett
75,NYY,2023-09-21,John Bacon
76,NYY,2023-09-22,Nick Mahrley
77,NYY,2023-09-24,Adam Hamari
78,NYY,2023-09-25,Quinn Wolcott
