,home_team,game_date,umpire
0,NYM,2023-04-07,Chris Segal
1,NYM,2023-04-08,Ben May
2,NYM,2023-04-09,Jeff Nelson
3,NYM,2023-04-10,Lance Barksdale
4,NYM,2023-04-11,Will Little
5,NYM,2023-04-12,Ryan Additon
6,NYM,2023-04-25,Brennan Miller
7,NYM,2023-04-26,Mark Carlson
8,NYM,2023-04-27,Jordan Baker
9,NYM,2023-04-28,Quinn Wolcott
10,NYM,2023-05-05,John Tumpane
11,NYM,2023-05-06,Alex MacKay
12,NYM,2023-05-07,Marvin Hudson
13,NYM,2023-05-16,Ben May
14,NYM,2023-05-17,Jeff Nelson
15,NYM,2023-05-18,CB Bucknor
16,NYM,2023-05-19,Will Little
17,NYM,2023-05-30,Edwin Moscoso
18,NYM,2023-05-31,Chris Guccione
19,NYM,2023-06-01,Tripp Gibson
20,NYM,2023-06-02,Nic Lentz
21,NYM,2023-06-03,Charlie Ramos
22,NYM,2023-06-04,Jeremie Rehak
23,NYM,2023-06-13,Rob Drake
24,NYM,2023-06-14,Bill Miller
25,NYM,2023-06-16,Phil Cuzzi
26,NYM,2023-06-17,Shane Livensparger
27,NYM,2023-06-18,Dan Merzel
28,NYM,2023-06-26,Jansen Visconti
29,NYM,2023-06-27,Edwin Jimenez
30,NYM,2023-06-28,Carlos Torres
31,NYM,2023-06-29,Ron Kulpa
32,NYM,2023-06-30,Bruce Dreckman
33,NYM,2023-07-01,Malachi Moore
34,NYM,2023-07-02,Stu Scheurwater
35,NYM,2023-07-14,Tony Randazzo
36,NYM,2023-07-15,Alex Tosi
37,NYM,2023-07-16,Brian Knight
38,NYM,2023-07-18,Mike Estabrook
39,NYM,2023-07-19,Andy Fletcher
40,NYM,2023-07-20,Erich Bacchus
41,NYM,2023-07-27,Emil Jimenez
42,NYM,2023-07-28,Adam Hamari
43,NYM,2023-07-29,Nick Mahrley
44,NYM,2023-07-30,Vic Carapazza
45,NYM,2023-08-07,Ramon D
46,NYM,2023-08-08,Lance Barrett
47,NYM,2023-08-09,Ryan Wills
48,NYM,2023-08-11,Jordan Baker
49,NYM,2023-08-13,Tripp Gibson
50,NYM,2023-08-14,Phil Cuzzi
51,NYM,2023-08-15,Mark Ripperger
52,NYM,2023-08-16,Shane Livensparger
53,NYM,2023-08-25,Jeremie Rehak
54,NYM,2023-08-26,Chad Fairchild
55,NYM,2023-08-27,Nic Lentz
56,NYM,2023-08-28,Alan Porter
57,NYM,2023-08-29,Jim Wolf
58,NYM,2023-08-30,Nate Tomlinson
59,NYM,2023-09-01,Vic Carapazza
60,NYM,2023-09-02,Adam Hamari
61,NYM,2023-09-03,Nick Mahrley
62,NYM,2023-09-11,Roberto Ortiz
63,NYM,2023-09-12,Rob Drake
64,NYM,2023-09-13,Tripp Gibson
65,NYM,2023-09-14,Bill Miller
66,NYM,2023-09-15,David Rackley
67,NYM,2023-09-16,Larry Vanover
68,NYM,2023-09-17,Edwin Moscoso
69,NYM,2023-09-28,Emil Jimenez
70,NYM,2023-10-01,Adrian Johnson
