,home_team,game_date,umpire
0,OAK,2023-03-30,Adrian Johnson
1,OAK,2023-04-01,Manny Gonzalez
2,OAK,2023-04-02,Quinn Wolcott
3,OAK,2023-04-03,Alfonso Márquez
4,OAK,2023-04-04,Doug Eddings
5,OAK,2023-04-05,Lance Barrett
6,OAK,2023-04-14,Dan Iassogna
7,OAK,2023-04-15,Scott Barry
8,OAK,2023-04-16,Clint Vondrak
9,OAK,2023-04-17,Vic Carapazza
10,OAK,2023-04-18,Nick Mahrley
11,OAK,2023-04-19,Adam Hamari
12,OAK,2023-04-28,James Hoye
13,OAK,2023-04-29,D.J. Reyburn
14,OAK,2023-04-30,John Libka
15,OAK,2023-05-02,Brian O'Nora
16,OAK,2023-05-03,Nestor Ceja
17,OAK,2023-05-04,Emil Jimenez
18,OAK,2023-05-11,Phil Cuzzi
19,OAK,2023-05-12,Mark Ripperger
20,OAK,2023-05-13,Shane Livensparger
21,OAK,2023-05-14,Dan Bellino
22,OAK,2023-05-15,Hunter Wendelstedt
23,OAK,2023-05-16,Brock Ballou
24,OAK,2023-05-17,Ryan Blakney
25,OAK,2023-05-26,Brian Knight
26,OAK,2023-05-27,Alex Tosi
27,OAK,2023-05-28,Tony Randazzo
28,OAK,2023-05-29,Mark Ripperger
29,OAK,2023-05-30,Dan Bellino
30,OAK,2023-05-31,Phil Cuzzi
31,OAK,2023-06-12,Manny Gonzalez
32,OAK,2023-06-13,Quinn Wolcott
33,OAK,2023-06-14,Alex MacKay
34,OAK,2023-06-15,Adrian Johnson
35,OAK,2023-06-16,Brennan Miller
36,OAK,2023-06-17,Jordan Baker
37,OAK,2023-06-18,Tripp Gibson
38,OAK,2023-06-27,Chris Guccione
39,OAK,2023-06-28,Edwin Moscoso
40,OAK,2023-06-29,Nate Tomlinson
41,OAK,2023-06-30,Tripp Gibson
42,OAK,2023-07-01,Mark Carlson
43,OAK,2023-07-02,Brennan Miller
44,OAK,2023-07-14,Nic Lentz
45,OAK,2023-07-15,Jeremie Rehak
46,OAK,2023-07-16,Chad Fairchild
47,OAK,2023-07-17,Emil Jimenez
48,OAK,2023-07-18,Adam Hamari
49,OAK,2023-07-19,Nick Mahrley
50,OAK,2023-07-20,Hunter Wendelstedt
51,OAK,2023-07-21,John Tumpane
52,OAK,2023-07-22,Ryan Blakney
53,OAK,2023-07-23,Marvin Hudson
54,OAK,2023-08-05,Dan Merzel
55,OAK,2023-08-06,Ryan Additon
56,OAK,2023-08-07,Adam Beck
57,OAK,2023-08-08,Dan Iassogna
58,OAK,2023-08-09,John Bacon
59,OAK,2023-08-18,Emil Jimenez
60,OAK,2023-08-19,Brian Knight
61,OAK,2023-08-20,Todd Tichenor
62,OAK,2023-08-21,Chad Fairchild
63,OAK,2023-08-22,Nic Lentz
64,OAK,2023-08-23,Paul Clemons
65,OAK,2023-09-01,Chad Whitson
66,OAK,2023-09-02,Roberto Ortiz
67,OAK,2023-09-03,Rob Drake
68,OAK,2023-09-04,Dan Bellino
69,OAK,2023-09-05,Phil Cuzzi
70,OAK,2023-09-06,Mark Ripperger
71,OAK,2023-09-15,Dan Iassogna
72,OAK,2023-09-16,David Arrieta
73,OAK,2023-09-17,Alex MacKay
74,OAK,2023-09-18,Carlos Torres
75,OAK,2023-09-19,Ron Kulpa
76,OAK,2023-09-20,Jansen Visconti
77,OAK,2023-09-21,Dan Merzel
78,OAK,2023-09-22,Todd Tichenor
79,OAK,2023-09-23,Brian Walsh
80,OAK,2023-09-24,Brian Knight
