,home_team,game_date,umpire
0,PHI,2023-04-07,Sean Barber
1,PHI,2023-04-08,Alan Porter
2,PHI,2023-04-09,Jim Wolf
3,PHI,2023-04-10,John Libka
4,PHI,2023-04-11,Nate Tomlinson
5,PHI,2023-04-12,James Hoye
6,PHI,2023-04-20,Brian Knight
7,PHI,2023-04-21,Alex Tosi
8,PHI,2023-04-22,Tony Randazzo
9,PHI,2023-04-23,Todd Tichenor
10,PHI,2023-04-25,Laz Diaz
11,PHI,2023-04-26,Ryan Wills
12,PHI,2023-04-27,Andy Fletcher
13,PHI,2023-05-05,Doug Eddings
14,PHI,2023-05-06,Lance Barrett
15,PHI,2023-05-07,Charlie Ramos
16,PHI,2023-05-09,Jeremie Rehak
17,PHI,2023-05-10,Chad Fairchild
18,PHI,2023-05-19,Andy Fletcher
19,PHI,2023-05-20,Erich Bacchus
20,PHI,2023-05-21,Laz Diaz
21,PHI,2023-05-22,Manny Gonzalez
22,PHI,2023-05-23,Quinn Wolcott
23,PHI,2023-05-24,Junior Valentine
24,PHI,2023-06-05,Junior Valentine
25,PHI,2023-06-06,Adrian Johnson
26,PHI,2023-06-08,Manny Gonzalez
27,PHI,2023-06-09,Bill Miller
28,PHI,2023-06-10,Roberto Ortiz
29,PHI,2023-06-11,Chad Whitson
30,PHI,2023-06-20,Alfonso Márquez
31,PHI,2023-06-22,Ramon D
32,PHI,2023-06-23,Mike Estabrook
33,PHI,2023-06-24,Brian Walsh
34,PHI,2023-06-25,Erich Bacchus
35,PHI,2023-06-30,Jansen Visconti
36,PHI,2023-07-01,Edwin Jimenez
37,PHI,2023-07-02,Carlos Torres
38,PHI,2023-07-14,Dan Bellino
39,PHI,2023-07-16,Brock Ballou
40,PHI,2023-07-18,Lance Barrett
41,PHI,2023-07-19,Derek Thomas
42,PHI,2023-07-20,Jordan Baker
43,PHI,2023-07-24,Will Little
44,PHI,2023-07-25,Lance Barksdale
45,PHI,2023-07-26,Dan Merzel
46,PHI,2023-08-04,CB Bucknor
47,PHI,2023-08-05,Ben May
48,PHI,2023-08-06,Jeff Nelson
49,PHI,2023-08-09,Brennan Miller
50,PHI,2023-08-10,Tripp Gibson
51,PHI,2023-08-11,Stu Scheurwater
52,PHI,2023-08-12,Malachi Moore
53,PHI,2023-08-13,Alex MacKay
54,PHI,2023-08-21,Adam Hamari
55,PHI,2023-08-22,Nick Mahrley
56,PHI,2023-08-23,Jacob Metz
57,PHI,2023-08-25,Stu Scheurwater
58,PHI,2023-08-26,Mark Wegner
59,PHI,2023-08-27,Malachi Moore
60,PHI,2023-08-28,Erich Bacchus
61,PHI,2023-08-29,Laz Diaz
62,PHI,2023-08-30,Mike Estabrook
63,PHI,2023-09-08,Nate Tomlinson
64,PHI,2023-09-09,Sean Barber
65,PHI,2023-09-10,Mike Muchlinski
66,PHI,2023-09-12,Edwin Moscoso
67,PHI,2023-09-13,D.J. Reyburn
68,PHI,2023-09-21,Marvin Hudson
69,PHI,2023-09-22,Ryan Blakney
70,PHI,2023-09-23,Doug Eddings
71,PHI,2023-09-24,Edwin Jimenez
72,PHI,2023-09-26,D.J. Reyburn
73,PHI,2023-09-27,Angel Hernandez
74,PHI,2023-09-28,James Hoye
