,home_team,game_date,umpire
0,PIT,2023-04-07,Ryan Wills
1,PIT,2023-04-08,Mike Estabrook
2,PIT,2023-04-09,Laz Diaz
3,PIT,2023-04-10,Nick Mahrley
4,PIT,2023-04-11,Adam Hamari
5,PIT,2023-04-12,Jerry Layne
6,PIT,2023-04-20,Carlos Torres
7,PIT,2023-04-21,Jansen Visconti
8,PIT,2023-04-22,Cory Blaser
9,PIT,2023-04-23,Emil Jimenez
10,PIT,2023-04-25,Ben May
11,PIT,2023-04-26,Jeff Nelson
12,PIT,2023-04-27,CB Bucknor
13,PIT,2023-05-05,Clint Vondrak
14,PIT,2023-05-06,Carlos Torres
15,PIT,2023-05-07,Jansen Visconti
16,PIT,2023-05-08,Nate Tomlinson
17,PIT,2023-05-09,Sean Barber
18,PIT,2023-05-10,Mike Muchlinski
19,PIT,2023-05-19,Chris Segal
20,PIT,2023-05-20,Ben May
21,PIT,2023-05-21,Jeff Nelson
22,PIT,2023-05-22,Nate Tomlinson
23,PIT,2023-05-23,Adam Beck
24,PIT,2023-05-24,Dan Iassogna
25,PIT,2023-06-02,Mark Carlson
26,PIT,2023-06-03,Brennan Miller
27,PIT,2023-06-04,Jacob Metz
28,PIT,2023-06-05,Jansen Visconti
29,PIT,2023-06-06,Nate Tomlinson
30,PIT,2023-06-07,Edwin Moscoso
31,PIT,2023-06-09,Lance Barksdale
32,PIT,2023-06-10,Ryan Additon
33,PIT,2023-06-11,Dan Merzel
34,PIT,2023-06-19,Adam Beck
35,PIT,2023-06-20,Dan Iassogna
36,PIT,2023-06-21,Ryan Wills
37,PIT,2023-06-27,Jeremie Rehak
38,PIT,2023-06-28,Chad Fairchild
39,PIT,2023-06-29,Nic Lentz
40,PIT,2023-06-30,Quinn Wolcott
41,PIT,2023-07-01,Junior Valentine
42,PIT,2023-07-02,Mike Muchlinski
43,PIT,2023-07-14,Jordan Baker
44,PIT,2023-07-15,Brennan Miller
45,PIT,2023-07-16,Jansen Visconti
46,PIT,2023-07-17,Manny Gonzalez
47,PIT,2023-07-18,Adrian Johnson
48,PIT,2023-07-19,Jeremy Riggs
49,PIT,2023-07-28,Nestor Ceja
50,PIT,2023-07-29,Brian O'Nora
51,PIT,2023-07-30,Edwin Jimenez
52,PIT,2023-08-01,Chad Whitson
53,PIT,2023-08-02,Roberto Ortiz
54,PIT,2023-08-07,Jim Wolf
55,PIT,2023-08-08,Jeremy Riggs
56,PIT,2023-08-09,Mike Muchlinski
57,PIT,2023-08-10,Alan Porter
58,PIT,2023-08-11,Chad Fairchild
59,PIT,2023-08-21,Jordan Baker
60,PIT,2023-08-22,Brennan Miller
61,PIT,2023-08-23,Tripp Gibson
62,PIT,2023-08-24,Vic Carapazza
63,PIT,2023-08-25,Adam Hamari
64,PIT,2023-08-26,Nick Mahrley
65,PIT,2023-08-27,Jacob Metz
66,PIT,2023-09-04,Jeff Nelson
67,PIT,2023-09-05,Chris Segal
68,PIT,2023-09-06,CB Bucknor
69,PIT,2023-09-11,James Hoye
70,PIT,2023-09-12,John Libka
71,PIT,2023-09-13,Derek Thomas
72,PIT,2023-09-14,Angel Hernandez
73,PIT,2023-09-15,John Tumpane
74,PIT,2023-09-16,Ryan Blakney
75,PIT,2023-09-17,Hunter Wendelstedt
76,PIT,2023-09-29,Charlie Ramos
77,PIT,2023-09-30,Chad Fairchild
78,PIT,2023-10-01,Nic Lentz
