,home_team,game_date,umpire
0,SD,2023-03-30,Chris Conroy
1,SD,2023-03-31,Brian O'Nora
2,SD,2023-04-01,Pat Hoberg
3,SD,2023-04-02,Nestor Ceja
4,SD,2023-04-03,Jansen Visconti
5,SD,2023-04-04,Ron Kulpa
6,SD,2023-04-13,Mark Ripperger
7,SD,2023-04-14,Shane Livensparger
8,SD,2023-04-15,Dan Bellino
9,SD,2023-04-16,Phil Cuzzi
10,SD,2023-04-17,Bill Miller
11,SD,2023-04-18,Chad Whitson
12,SD,2023-04-19,Roberto Ortiz
13,SD,2023-04-29,Alfonso Márquez
14,SD,2023-04-30,Pat Hoberg
15,SD,2023-05-01,Chad Fairchild
16,SD,2023-05-02,Nic Lentz
17,SD,2023-05-03,Jeremie Rehak
18,SD,2023-05-05,John Libka
19,SD,2023-05-06,Edwin Jimenez
20,SD,2023-05-07,James Hoye
21,SD,2023-05-15,Lance Barrett
22,SD,2023-05-16,Charlie Ramos
23,SD,2023-05-17,Alfonso Márquez
24,SD,2023-05-19,Stu Scheurwater
25,SD,2023-05-20,Malachi Moore
26,SD,2023-05-21,Mark Wegner
27,SD,2023-06-02,Ryan Wills
28,SD,2023-06-03,Mark Ripperger
29,SD,2023-06-04,Shane Livensparger
30,SD,2023-06-05,Phil Cuzzi
31,SD,2023-06-06,Alex Tosi
32,SD,2023-06-07,Tony Randazzo
33,SD,2023-06-13,Chris Segal
34,SD,2023-06-14,David Rackley
35,SD,2023-06-15,Edwin Moscoso
36,SD,2023-06-16,Alan Porter
37,SD,2023-06-17,Jim Wolf
38,SD,2023-06-18,Mike Muchlinski
39,SD,2023-06-23,John Libka
40,SD,2023-06-24,James Hoye
41,SD,2023-06-25,D.J. Reyburn
42,SD,2023-07-03,Vic Carapazza
43,SD,2023-07-04,Nick Mahrley
44,SD,2023-07-05,Jerry Layne
45,SD,2023-07-07,James Hoye
46,SD,2023-07-08,D.J. Reyburn
47,SD,2023-07-09,Clint Vondrak
48,SD,2023-07-24,Hunter Wendelstedt
49,SD,2023-07-25,John Tumpane
50,SD,2023-07-26,Paul Clemons
51,SD,2023-07-28,Ryan Blakney
52,SD,2023-07-29,James Hoye
53,SD,2023-07-30,D.J. Reyburn
54,SD,2023-08-04,Dan Iassogna
55,SD,2023-08-05,John Bacon
56,SD,2023-08-06,Gabe Morales
57,SD,2023-08-07,Paul Clemons
58,SD,2023-08-14,Erich Bacchus
59,SD,2023-08-15,Laz Diaz
60,SD,2023-08-16,Mike Estabrook
61,SD,2023-08-17,Nate Tomlinson
62,SD,2023-08-18,Edwin Moscoso
63,SD,2023-08-21,Alex Tosi
64,SD,2023-08-22,Emil Jimenez
65,SD,2023-08-23,Chris Guccione
66,SD,2023-08-31,Doug Eddings
67,SD,2023-09-01,Lance Barrett
68,SD,2023-09-02,Ryan Blakney
69,SD,2023-09-03,Ryan Wills
70,SD,2023-09-04,Pat Hoberg
71,SD,2023-09-05,Tom Hanahan
72,SD,2023-09-06,Nestor Ceja
73,SD,2023-09-18,Todd Tichenor
74,SD,2023-09-19,Brian Walsh
75,SD,2023-09-20,Brian Knight
76,SD,2023-09-22,Derek Thomas
77,SD,2023-09-23,CB Bucknor
78,SD,2023-09-24,Ben May
