,home_team,game_date,umpire
0,SEA,2023-03-30,Mark Carlson
1,SEA,2023-03-31,Jordan Baker
2,SEA,2023-04-01,Tripp Gibson
3,SEA,2023-04-02,Brennan Miller
4,SEA,2023-04-03,Charlie Ramos
5,SEA,2023-04-04,Brian O'Nora
6,SEA,2023-04-05,Pat Hoberg
7,SEA,2023-04-14,Nick Mahrley
8,SEA,2023-04-15,Adam Hamari
9,SEA,2023-04-16,Brock Ballou
10,SEA,2023-04-17,Alan Porter
11,SEA,2023-04-18,Jim Wolf
12,SEA,2023-04-19,Mike Muchlinski
13,SEA,2023-04-21,Clint Vondrak
14,SEA,2023-04-22,Gabe Morales
15,SEA,2023-04-23,Dan Iassogna
16,SEA,2023-05-05,Shane Livensparger
17,SEA,2023-05-06,Dan Bellino
18,SEA,2023-05-07,Phil Cuzzi
19,SEA,2023-05-08,Rob Drake
20,SEA,2023-05-09,Bill Miller
21,SEA,2023-05-10,Chad Whitson
22,SEA,2023-05-22,Ron Kulpa
23,SEA,2023-05-23,Carlos Torres
24,SEA,2023-05-24,Jansen Visconti
25,SEA,2023-05-25,Cory Blaser
26,SEA,2023-05-26,John Tumpane
27,SEA,2023-05-27,Ryan Blakney
28,SEA,2023-05-28,Marvin Hudson
29,SEA,2023-05-29,Ben May
30,SEA,2023-05-30,Brian Walsh
31,SEA,2023-05-31,CB Bucknor
32,SEA,2023-06-12,Jim Wolf
33,SEA,2023-06-13,Mike Muchlinski
34,SEA,2023-06-14,Sean Barber
35,SEA,2023-06-16,Manny Gonzalez
36,SEA,2023-06-17,Quinn Wolcott
37,SEA,2023-06-18,Alex MacKay
38,SEA,2023-06-26,Mark Carlson
39,SEA,2023-06-27,Brennan Miller
40,SEA,2023-06-28,Derek Thomas
41,SEA,2023-06-30,Jordan Baker
42,SEA,2023-07-01,Chris Guccione
43,SEA,2023-07-02,Edwin Moscoso
44,SEA,2023-07-14,Marvin Hudson
45,SEA,2023-07-15,Hunter Wendelstedt
46,SEA,2023-07-16,Alex MacKay
47,SEA,2023-07-17,Jim Wolf
48,SEA,2023-07-18,Mike Muchlinski
49,SEA,2023-07-19,Sean Barber
50,SEA,2023-07-20,Alan Porter
51,SEA,2023-07-21,Vic Carapazza
52,SEA,2023-07-22,Emil Jimenez
53,SEA,2023-07-23,Adam Hamari
54,SEA,2023-07-31,John Libka
55,SEA,2023-08-01,Clint Vondrak
56,SEA,2023-08-02,D.J. Reyburn
57,SEA,2023-08-08,Doug Eddings
58,SEA,2023-08-09,Lance Barksdale
59,SEA,2023-08-11,Gabe Morales
60,SEA,2023-08-12,Adam Beck
61,SEA,2023-08-13,Dan Iassogna
62,SEA,2023-08-25,Quinn Wolcott
63,SEA,2023-08-26,Ryan Wills
64,SEA,2023-08-27,Doug Eddings
65,SEA,2023-08-28,CB Bucknor
66,SEA,2023-08-29,Ben May
67,SEA,2023-08-30,Jeff Nelson
68,SEA,2023-09-11,Ryan Additon
69,SEA,2023-09-12,Lance Barksdale
70,SEA,2023-09-13,Ryan Wills
71,SEA,2023-09-15,Mark Wegner
72,SEA,2023-09-16,Malachi Moore
73,SEA,2023-09-17,Bruce Dreckman
74,SEA,2023-09-25,Chris Guccione
75,SEA,2023-09-26,David Rackley
76,SEA,2023-09-27,Larry Vanover
77,SEA,2023-09-28,Ryan Blakney
78,SEA,2023-09-29,Mark Carlson
79,SEA,2023-09-30,Tripp Gibson
80,SEA,2023-10-01,Brennan Miller
