,home_team,game_date,umpire
0,SF,2023-04-07,Clint Vondrak
1,SF,2023-04-08,Adam Beck
2,SF,2023-04-09,Dan Iassogna
3,SF,2023-04-10,Todd Tichenor
4,SF,2023-04-11,Brian Knight
5,SF,2023-04-12,Alex Tosi
6,SF,2023-04-20,Rob Drake
7,SF,2023-04-21,Bill Miller
8,SF,2023-04-22,Chad Whitson
9,SF,2023-04-23,Roberto Ortiz
10,SF,2023-04-24,Nic Lentz
11,SF,2023-04-25,Jeremie Rehak
12,SF,2023-04-26,Paul Emmel
13,SF,2023-04-27,Chad Fairchild
14,SF,2023-05-05,Chris Guccione
15,SF,2023-05-06,David Rackley
16,SF,2023-05-07,Jeremy Riggs
17,SF,2023-05-08,Emil Jimenez
18,SF,2023-05-09,Chris Segal
19,SF,2023-05-10,Brian O'Nora
20,SF,2023-05-15,Roberto Ortiz
21,SF,2023-05-16,Jeremy Riggs
22,SF,2023-05-17,Rob Drake
23,SF,2023-05-19,Marvin Hudson
24,SF,2023-05-20,Hunter Wendelstedt
25,SF,2023-05-21,Brock Ballou
26,SF,2023-05-29,Mike Estabrook
27,SF,2023-05-30,Andy Fletcher
28,SF,2023-05-31,Erich Bacchus
29,SF,2023-06-02,Nick Mahrley
30,SF,2023-06-03,Vic Carapazza
31,SF,2023-06-04,Jerry Layne
32,SF,2023-06-09,Pat Hoberg
33,SF,2023-06-10,Jacob Metz
34,SF,2023-06-11,Nestor Ceja
35,SF,2023-06-19,Adrian Johnson
36,SF,2023-06-20,Manny Gonzalez
37,SF,2023-06-21,Quinn Wolcott
38,SF,2023-06-22,Junior Valentine
39,SF,2023-06-23,Jim Wolf
40,SF,2023-06-24,Mike Muchlinski
41,SF,2023-06-25,Sean Barber
42,SF,2023-07-03,Lance Barrett
43,SF,2023-07-04,Ramon D
44,SF,2023-07-05,Alfonso Márquez
45,SF,2023-07-07,Dan Bellino
46,SF,2023-07-08,Shane Livensparger
47,SF,2023-07-09,Mark Ripperger
48,SF,2023-07-25,Alan Porter
49,SF,2023-07-26,Jim Wolf
50,SF,2023-07-28,Quinn Wolcott
51,SF,2023-07-29,Junior Valentine
52,SF,2023-07-30,Manny Gonzalez
53,SF,2023-07-31,Dan Iassogna
54,SF,2023-08-01,John Bacon
55,SF,2023-08-02,Gabe Morales
56,SF,2023-08-03,Adam Beck
57,SF,2023-08-11,Dan Merzel
58,SF,2023-08-12,Ryan Additon
59,SF,2023-08-13,Doug Eddings
60,SF,2023-08-14,Bill Miller
61,SF,2023-08-15,Chad Whitson
62,SF,2023-08-16,Roberto Ortiz
63,SF,2023-08-25,Todd Tichenor
64,SF,2023-08-26,Alex Tosi
65,SF,2023-08-27,Emil Jimenez
66,SF,2023-08-28,Roberto Ortiz
67,SF,2023-08-29,Rob Drake
68,SF,2023-08-30,Bill Miller
69,SF,2023-09-08,Shane Livensparger
70,SF,2023-09-09,Dan Bellino
71,SF,2023-09-10,Phil Cuzzi
72,SF,2023-09-11,Malachi Moore
73,SF,2023-09-12,Bruce Dreckman
74,SF,2023-09-13,Stu Scheurwater
75,SF,2023-09-25,Mark Carlson
76,SF,2023-09-26,Tripp Gibson
77,SF,2023-09-27,Brennan Miller
78,SF,2023-09-29,Chris Segal
79,SF,2023-09-30,Nestor Ceja
80,SF,2023-10-01,Lance Barrett
