,home_team,game_date,umpire
0,STL,2023-03-30,Dan Iassogna
1,STL,2023-04-01,Scott Barry
2,STL,2023-04-02,Gabe Morales
3,STL,2023-04-03,Tony Randazzo
4,STL,2023-04-04,Junior Valentine
5,STL,2023-04-05,Todd Tichenor
6,STL,2023-04-13,Dan Merzel
7,STL,2023-04-14,Lance Barksdale
8,STL,2023-04-15,Will Little
9,STL,2023-04-16,Ryan Additon
10,STL,2023-04-17,Manny Gonzalez
11,STL,2023-04-18,Quinn Wolcott
12,STL,2023-04-19,Junior Valentine
13,STL,2023-05-02,Alex MacKay
14,STL,2023-05-03,Marvin Hudson
15,STL,2023-05-04,Hunter Wendelstedt
16,STL,2023-05-05,Junior Valentine
17,STL,2023-05-06,Adrian Johnson
18,STL,2023-05-07,Quinn Wolcott
19,STL,2023-05-15,Malachi Moore
20,STL,2023-05-16,Mark Wegner
21,STL,2023-05-17,Bruce Dreckman
22,STL,2023-05-18,Jeremie Rehak
23,STL,2023-05-19,Chad Fairchild
24,STL,2023-05-20,Paul Emmel
25,STL,2023-05-21,Nic Lentz
26,STL,2023-05-29,Mark Wegner
27,STL,2023-05-30,Bruce Dreckman
28,STL,2023-06-09,Quinn Wolcott
29,STL,2023-06-10,Junior Valentine
30,STL,2023-06-11,Adrian Johnson
31,STL,2023-06-12,Dan Iassogna
32,STL,2023-06-13,Tripp Gibson
33,STL,2023-06-14,Gabe Morales
34,STL,2023-06-24,Adam Hamari
35,STL,2023-06-25,Scott Barry
36,STL,2023-06-27,Alan Porter
37,STL,2023-06-28,Jim Wolf
38,STL,2023-06-29,Emil Jimenez
39,STL,2023-07-02,Dan Merzel
40,STL,2023-07-14,Bill Miller
41,STL,2023-07-15,Brian Walsh
42,STL,2023-07-16,Roberto Ortiz
43,STL,2023-07-17,Todd Tichenor
44,STL,2023-07-18,Tony Randazzo
45,STL,2023-07-19,Alex Tosi
46,STL,2023-07-27,Ryan Additon
47,STL,2023-07-28,Will Little
48,STL,2023-07-29,Lance Barksdale
49,STL,2023-07-30,Dan Merzel
50,STL,2023-08-01,Ben May
51,STL,2023-08-02,Jeff Nelson
52,STL,2023-08-03,Chris Segal
53,STL,2023-08-04,Jordan Baker
54,STL,2023-08-05,Mark Carlson
55,STL,2023-08-06,Tripp Gibson
56,STL,2023-08-14,Edwin Moscoso
57,STL,2023-08-15,David Rackley
58,STL,2023-08-16,Larry Vanover
59,STL,2023-08-17,Marvin Hudson
60,STL,2023-08-18,Hunter Wendelstedt
61,STL,2023-08-19,John Tumpane
62,STL,2023-08-20,Ryan Blakney
63,STL,2023-08-28,Phil Cuzzi
64,STL,2023-08-29,Mark Ripperger
65,STL,2023-08-30,Shane Livensparger
66,STL,2023-09-01,Jansen Visconti
67,STL,2023-09-02,Emil Jimenez
68,STL,2023-09-03,Carlos Torres
69,STL,2023-09-15,Alex Tosi
70,STL,2023-09-16,Brian Knight
71,STL,2023-09-17,Dan Merzel
72,STL,2023-09-18,Nick Mahrley
73,STL,2023-09-19,Vic Carapazza
74,STL,2023-09-20,Adam Hamari
75,STL,2023-09-21,Clint Vondrak
76,STL,2023-09-29,Phil Cuzzi
77,STL,2023-09-30,Dan Bellino
78,STL,2023-10-01,Shane Livensparger
