,home_team,game_date,umpire
0,TB,2023-03-30,Jerry Layne
1,TB,2023-04-01,Vic Carapazza
2,TB,2023-04-02,Nick Mahrley
3,TB,2023-04-07,Ryan Blakney
4,TB,2023-04-08,Marvin Hudson
5,TB,2023-04-09,Hunter Wendelstedt
6,TB,2023-04-10,Jeremie Rehak
7,TB,2023-04-11,Paul Emmel
8,TB,2023-04-12,Chad Fairchild
9,TB,2023-04-13,Nic Lentz
10,TB,2023-04-21,Mark Wegner
11,TB,2023-04-22,Bruce Dreckman
12,TB,2023-04-23,Stu Scheurwater
13,TB,2023-04-24,Jerry Layne
14,TB,2023-04-25,Brock Ballou
15,TB,2023-04-26,Vic Carapazza
16,TB,2023-05-02,Adrian Johnson
17,TB,2023-05-03,Quinn Wolcott
18,TB,2023-05-04,Manny Gonzalez
19,TB,2023-05-05,Dan Merzel
20,TB,2023-05-06,Lance Barksdale
21,TB,2023-05-07,Will Little
22,TB,2023-05-19,Jerry Layne
23,TB,2023-05-20,Adam Hamari
24,TB,2023-05-21,Nick Mahrley
25,TB,2023-05-22,Jordan Baker
26,TB,2023-05-23,Brennan Miller
27,TB,2023-05-24,Mark Carlson
28,TB,2023-05-25,Tripp Gibson
29,TB,2023-05-26,Emil Jimenez
30,TB,2023-05-27,Nestor Ceja
31,TB,2023-05-28,Brian O'Nora
32,TB,2023-06-06,Jeff Nelson
33,TB,2023-06-07,CB Bucknor
34,TB,2023-06-08,Chris Segal
35,TB,2023-06-09,Jansen Visconti
36,TB,2023-06-10,Carlos Torres
37,TB,2023-06-11,Brock Ballou
38,TB,2023-06-20,Andy Fletcher
39,TB,2023-06-21,Jeremie Rehak
40,TB,2023-06-22,Malachi Moore
41,TB,2023-06-23,Bruce Dreckman
42,TB,2023-06-24,Stu Scheurwater
43,TB,2023-06-25,Mark Wegner
44,TB,2023-07-04,John Tumpane
45,TB,2023-07-05,David Rackley
46,TB,2023-07-06,Charlie Ramos
47,TB,2023-07-07,Vic Carapazza
48,TB,2023-07-08,Ramon D
49,TB,2023-07-09,Roberto Ortiz
50,TB,2023-07-20,Junior Valentine
51,TB,2023-07-21,Manny Gonzalez
52,TB,2023-07-22,Adrian Johnson
53,TB,2023-07-23,Jeremy Riggs
54,TB,2023-07-25,Brian Knight
55,TB,2023-07-26,Todd Tichenor
56,TB,2023-08-08,James Hoye
57,TB,2023-08-09,John Libka
58,TB,2023-08-10,Clint Vondrak
59,TB,2023-08-11,Junior Valentine
60,TB,2023-08-12,Quinn Wolcott
61,TB,2023-08-13,Adrian Johnson
62,TB,2023-08-22,Mike Estabrook
63,TB,2023-08-23,Andy Fletcher
64,TB,2023-08-24,Erich Bacchus
65,TB,2023-08-25,Clint Vondrak
66,TB,2023-08-26,Gabe Morales
67,TB,2023-08-27,Adam Beck
68,TB,2023-09-04,Edwin Moscoso
69,TB,2023-09-05,Larry Vanover
70,TB,2023-09-06,Jacob Metz
71,TB,2023-09-07,Junior Valentine
72,TB,2023-09-08,Chad Fairchild
73,TB,2023-09-09,Nic Lentz
74,TB,2023-09-10,Paul Clemons
75,TB,2023-09-19,Stu Scheurwater
76,TB,2023-09-20,Mark Wegner
77,TB,2023-09-21,Malachi Moore
78,TB,2023-09-22,Carlos Torres
79,TB,2023-09-23,Ron Kulpa
80,TB,2023-09-24,Alex Tosi
