,home_team,game_date,umpire
0,TEX,2023-03-30,Jeff Nelson
1,TEX,2023-04-01,CB Bucknor
2,TEX,2023-04-02,Chris Segal
3,TEX,2023-04-03,Marvin Hudson
4,TEX,2023-04-04,Hunter Wendelstedt
5,TEX,2023-04-05,John Tumpane
6,TEX,2023-04-10,Cory Blaser
7,TEX,2023-04-11,Carlos Torres
8,TEX,2023-04-12,Jansen Visconti
9,TEX,2023-04-21,Mark Carlson
10,TEX,2023-04-22,Jordan Baker
11,TEX,2023-04-23,Tripp Gibson
12,TEX,2023-04-27,Lance Barrett
13,TEX,2023-04-28,Ryan Blakney
14,TEX,2023-04-29,Jeremy Riggs
15,TEX,2023-04-30,Chris Guccione
16,TEX,2023-05-02,Alan Porter
17,TEX,2023-05-03,Nate Tomlinson
18,TEX,2023-05-15,Ryan Additon
19,TEX,2023-05-16,Dan Merzel
20,TEX,2023-05-17,Lance Barksdale
21,TEX,2023-05-19,Ramon D
22,TEX,2023-05-20,Lance Barrett
23,TEX,2023-05-21,Charlie Ramos
24,TEX,2023-06-02,Laz Diaz
25,TEX,2023-06-03,Mike Estabrook
26,TEX,2023-06-04,Andy Fletcher
27,TEX,2023-06-05,Pat Hoberg
28,TEX,2023-06-06,Nestor Ceja
29,TEX,2023-06-07,Brian O'Nora
30,TEX,2023-06-12,Ramon D
31,TEX,2023-06-13,Lance Barrett
32,TEX,2023-06-14,Doug Eddings
33,TEX,2023-06-15,Alfonso Márquez
34,TEX,2023-06-16,Jeremie Rehak
35,TEX,2023-06-17,Chad Fairchild
36,TEX,2023-06-18,Nic Lentz
37,TEX,2023-06-26,Jeff Nelson
38,TEX,2023-06-27,Ryan Wills
39,TEX,2023-06-28,Chris Segal
40,TEX,2023-06-29,Ben May
41,TEX,2023-06-30,Bill Miller
42,TEX,2023-07-01,Roberto Ortiz
43,TEX,2023-07-02,Chad Whitson
44,TEX,2023-07-03,Rob Drake
45,TEX,2023-07-14,Mark Ripperger
46,TEX,2023-07-15,Bruce Dreckman
47,TEX,2023-07-16,Nate Tomlinson
48,TEX,2023-07-17,Ron Kulpa
49,TEX,2023-07-18,Cory Blaser
50,TEX,2023-07-19,Brock Ballou
51,TEX,2023-07-21,Edwin Jimenez
52,TEX,2023-07-22,Pat Hoberg
53,TEX,2023-07-23,Nestor Ceja
54,TEX,2023-08-01,Emil Jimenez
55,TEX,2023-08-02,Adam Hamari
56,TEX,2023-08-03,Nick Mahrley
57,TEX,2023-08-04,Jeremy Riggs
58,TEX,2023-08-05,Mike Muchlinski
59,TEX,2023-08-06,Sean Barber
60,TEX,2023-08-14,Hunter Wendelstedt
61,TEX,2023-08-15,John Tumpane
62,TEX,2023-08-16,Ryan Blakney
63,TEX,2023-08-18,Brennan Miller
64,TEX,2023-08-19,Tripp Gibson
65,TEX,2023-08-20,Mark Carlson
66,TEX,2023-09-01,Chris Guccione
67,TEX,2023-09-02,Brian Knight
68,TEX,2023-09-03,Manny Gonzalez
69,TEX,2023-09-04,Bruce Dreckman
70,TEX,2023-09-05,Stu Scheurwater
71,TEX,2023-09-06,Mark Wegner
72,TEX,2023-09-08,Ryan Wills
73,TEX,2023-09-09,Alfonso Márquez
74,TEX,2023-09-10,Doug Eddings
75,TEX,2023-09-18,CB Bucknor
76,TEX,2023-09-19,Ben May
77,TEX,2023-09-20,Jeff Nelson
78,TEX,2023-09-22,Sean Barber
79,TEX,2023-09-23,Jim Wolf
80,TEX,2023-09-24,Alan Porter
