,home_team,game_date,umpire
0,TOR,2023-04-11,Erich Bacchus
1,TOR,2023-04-12,Ryan Wills
2,TOR,2023-04-13,Mike Estabrook
3,TOR,2023-04-14,Lance Barrett
4,TOR,2023-04-15,Ramon D
5,TOR,2023-04-16,Alfonso Márquez
6,TOR,2023-04-24,David Rackley
7,TOR,2023-04-25,Jeremy Riggs
8,TOR,2023-04-26,Chris Guccione
9,TOR,2023-04-28,Tripp Gibson
10,TOR,2023-04-29,Brennan Miller
11,TOR,2023-04-30,Mark Carlson
12,TOR,2023-05-12,Laz Diaz
13,TOR,2023-05-13,Mike Estabrook
14,TOR,2023-05-14,Andy Fletcher
15,TOR,2023-05-15,Clint Vondrak
16,TOR,2023-05-16,James Hoye
17,TOR,2023-05-17,D.J. Reyburn
18,TOR,2023-05-18,John Libka
19,TOR,2023-05-19,Adam Beck
20,TOR,2023-05-20,Dan Iassogna
21,TOR,2023-05-21,Gabe Morales
22,TOR,2023-05-30,Cory Blaser
23,TOR,2023-05-31,Ron Kulpa
24,TOR,2023-06-01,Carlos Torres
25,TOR,2023-06-05,Scott Barry
26,TOR,2023-06-06,Gabe Morales
27,TOR,2023-06-07,Adam Beck
28,TOR,2023-06-08,Dan Iassogna
29,TOR,2023-06-09,Ryan Blakney
30,TOR,2023-06-10,Marvin Hudson
31,TOR,2023-06-11,Hunter Wendelstedt
32,TOR,2023-06-23,Mark Ripperger
33,TOR,2023-06-24,Dan Bellino
34,TOR,2023-06-25,Tom Hanahan
35,TOR,2023-06-27,Ryan Blakney
36,TOR,2023-06-28,Hunter Wendelstedt
37,TOR,2023-06-29,John Tumpane
38,TOR,2023-06-30,David Rackley
39,TOR,2023-07-01,Alex Tosi
40,TOR,2023-07-02,Jacob Metz
41,TOR,2023-07-14,Chris Guccione
42,TOR,2023-07-15,Junior Valentine
43,TOR,2023-07-16,Dan Iassogna
44,TOR,2023-07-18,Malachi Moore
45,TOR,2023-07-19,Bruce Dreckman
46,TOR,2023-07-20,Stu Scheurwater
47,TOR,2023-07-28,Mike Estabrook
48,TOR,2023-07-29,Andy Fletcher
49,TOR,2023-07-30,Erich Bacchus
50,TOR,2023-07-31,Jeremy Riggs
51,TOR,2023-08-01,Mike Muchlinski
52,TOR,2023-08-02,Sean Barber
53,TOR,2023-08-03,Jim Wolf
54,TOR,2023-08-11,Pat Hoberg
55,TOR,2023-08-12,Nestor Ceja
56,TOR,2023-08-13,Nate Tomlinson
57,TOR,2023-08-15,Ryan Wills
58,TOR,2023-08-16,Alfonso Márquez
59,TOR,2023-08-25,Junior Valentine
60,TOR,2023-08-26,Adrian Johnson
61,TOR,2023-08-27,Shane Livensparger
62,TOR,2023-08-28,Paul Clemons
63,TOR,2023-08-29,Jeremie Rehak
64,TOR,2023-08-30,Chad Fairchild
65,TOR,2023-09-08,Ben May
66,TOR,2023-09-09,Jeff Nelson
67,TOR,2023-09-10,Chris Segal
68,TOR,2023-09-11,John Tumpane
69,TOR,2023-09-12,Ryan Blakney
70,TOR,2023-09-13,Hunter Wendelstedt
71,TOR,2023-09-14,Mike Muchlinski
72,TOR,2023-09-15,Mark Carlson
73,TOR,2023-09-16,Jordan Baker
74,TOR,2023-09-17,Tripp Gibson
75,TOR,2023-09-26,Malachi Moore
76,TOR,2023-09-27,Bruce Dreckman
77,TOR,2023-09-28,Stu Scheurwater
78,TOR,2023-09-29,Doug Eddings
79,TOR,2023-09-30,Alfonso Márquez
80,TOR,2023-10-01,Ramon D
