,home_team,game_date,umpire
0,WSH,2023-03-30,Dan Bellino
1,WSH,2023-04-01,Phil Cuzzi
2,WSH,2023-04-02,Mark Ripperger
3,WSH,2023-04-03,Larry Vanover
4,WSH,2023-04-04,Chris Guccione
5,WSH,2023-04-05,Dan Merzel
6,WSH,2023-04-14,Hunter Wendelstedt
7,WSH,2023-04-15,John Tumpane
8,WSH,2023-04-16,Ryan Blakney
9,WSH,2023-04-18,Ron Kulpa
10,WSH,2023-04-19,Cory Blaser
11,WSH,2023-04-30,Ryan Wills
12,WSH,2023-05-01,Brian Knight
13,WSH,2023-05-02,Alex Tosi
14,WSH,2023-05-03,Tony Randazzo
15,WSH,2023-05-04,Todd Tichenor
16,WSH,2023-05-12,Paul Emmel
17,WSH,2023-05-13,Nic Lentz
18,WSH,2023-05-14,Jeremie Rehak
19,WSH,2023-05-15,Chad Fairchild
20,WSH,2023-05-19,Clint Vondrak
21,WSH,2023-05-20,James Hoye
22,WSH,2023-05-21,D.J. Reyburn
23,WSH,2023-05-23,Nestor Ceja
24,WSH,2023-05-24,Brian O'Nora
25,WSH,2023-05-25,Pat Hoberg
26,WSH,2023-06-02,Chris Segal
27,WSH,2023-06-03,Ben May
28,WSH,2023-06-04,Brian Walsh
29,WSH,2023-06-06,Erich Bacchus
30,WSH,2023-06-07,Emil Jimenez
31,WSH,2023-06-16,Brock Ballou
32,WSH,2023-06-17,Ron Kulpa
33,WSH,2023-06-18,Junior Valentine
34,WSH,2023-06-19,Mike Estabrook
35,WSH,2023-06-20,Brian Walsh
36,WSH,2023-06-21,Erich Bacchus
37,WSH,2023-06-22,Doug Eddings
38,WSH,2023-07-03,Adrian Johnson
39,WSH,2023-07-04,Emil Jimenez
40,WSH,2023-07-05,Quinn Wolcott
41,WSH,2023-07-06,Manny Gonzalez
42,WSH,2023-07-07,Tom Hanahan
43,WSH,2023-07-08,Gabe Morales
44,WSH,2023-07-09,Adam Beck
45,WSH,2023-07-21,Jeremie Rehak
46,WSH,2023-07-22,Chad Fairchild
47,WSH,2023-07-23,Charlie Ramos
48,WSH,2023-07-24,Jansen Visconti
49,WSH,2023-07-25,Carlos Torres
50,WSH,2023-07-26,Ron Kulpa
51,WSH,2023-07-31,Tony Randazzo
52,WSH,2023-08-01,Alex Tosi
53,WSH,2023-08-02,Angel Hernandez
54,WSH,2023-08-11,Nick Mahrley
55,WSH,2023-08-12,Vic Carapazza
56,WSH,2023-08-13,Emil Jimenez
57,WSH,2023-08-15,Bruce Dreckman
58,WSH,2023-08-16,Stu Scheurwater
59,WSH,2023-08-17,Mark Wegner
60,WSH,2023-08-18,Jim Wolf
61,WSH,2023-08-19,Mike Muchlinski
62,WSH,2023-08-20,
63,WSH,2023-08-31,Adam Beck
64,WSH,2023-09-01,Dan Iassogna
65,WSH,2023-09-02,Clint Vondrak
66,WSH,2023-09-03,Gabe Morales
67,WSH,2023-09-05,Tripp Gibson
68,WSH,2023-09-06,Mark Carlson
69,WSH,2023-09-08,David Rackley
70,WSH,2023-09-09,Edwin Moscoso
71,WSH,2023-09-10,Jacob Metz
72,WSH,2023-09-18,Will Little
73,WSH,2023-09-19,Ryan Additon
74,WSH,2023-09-20,Lance Barksdale
75,WSH,2023-09-21,Alfonso Márquez
76,WSH,2023-09-22,Ramon D
