home_team,game_date,umpire
LAA,2023-04-07,Brian Knight
LAA,2023-04-08,Tony Randazzo
LAA,2023-04-09,Alex MacKay
LAA,2023-04-10,Ramon D
LAA,2023-04-11,Alfonso Márquez
LAA,2023-04-12,Doug Eddings
LAA,2023-04-21,Phil Cuzzi
LAA,2023-04-22,Mark Ripperger
LAA,2023-04-23,Shane Livensparger
LAA,2023-04-24,Nate Tomlinson
LAA,2023-04-25,Sean Barber
LAA,2023-04-26,Jim Wolf
LAA,2023-04-27,Mike Muchlinski
LAA,2023-05-05,Ryan Blakney
LAA,2023-05-06,Brian O'Nora
LAA,2023-05-07,Nestor Ceja
LAA,2023-05-08,D.J. Reyburn
LAA,2023-05-09,John Libka
LAA,2023-05-10,Edwin Jimenez
LAA,2023-05-19,Bill Miller
LAA,2023-05-20,Roberto Ortiz
LAA,2023-05-21,Jeremy Riggs
LAA,2023-05-22,Ryan Blakney
LAA,2023-05-23,Marvin Hudson
LAA,2023-05-24,Hunter Wendelstedt
LAA,2023-05-26,Jeff Nelson
LAA,2023-05-27,CB Bucknor
LAA,2023-05-28,Chris Segal
LAA,2023-06-06,Adam Hamari
LAA,2023-06-07,Nick Mahrley
LAA,2023-06-08,Vic Carapazza
LAA,2023-06-09,Dan Bellino
LAA,2023-06-10,Phil Cuzzi
LAA,2023-06-11,Ryan Wills
LAA,2023-06-20,Sean Barber
LAA,2023-06-21,Alan Porter
LAA,2023-06-26,Bill Miller
LAA,2023-06-27,Roberto Ortiz
LAA,2023-06-28,Chad Whitson
LAA,2023-06-29,Rob Drake
LAA,2023-06-30,Ramon D
LAA,2023-07-01,Alfonso Márquez
LAA,2023-07-02,Doug Eddings
LAA,2023-07-14,Ron Kulpa
LAA,2023-07-15,Cory Blaser
LAA,2023-07-16,Carlos Torres
LAA,2023-07-17,John Tumpane
LAA,2023-07-18,Ryan Blakney
LAA,2023-07-19,Marvin Hudson
LAA,2023-07-21,Jim Wolf
LAA,2023-07-22,Mike Muchlinski
LAA,2023-07-23,Sean Barber
LAA,2023-08-03,Paul Clemons
LAA,2023-08-04,Adrian Johnson
LAA,2023-08-05,Quinn Wolcott
LAA,2023-08-06,Junior Valentine
LAA,2023-08-07,Jansen Visconti
LAA,2023-08-08,Cory Blaser
LAA,2023-08-09,Ron Kulpa
LAA,2023-08-18,Ryan Additon
LAA,2023-08-22,Nate Tomlinson
LAA,2023-09-04,Alfonso Márquez
LAA,2023-09-05,Doug Eddings
LAA,2023-09-06,Lance Barrett
LAA,2023-09-07,Brian O'Nora
LAA,2023-09-08,Pat Hoberg
LAA,2023-09-09,Tom Hanahan
LAA,2023-09-10,Nestor Ceja
LAA,2023-09-15,Jansen Visconti
LAA,2023-09-16,Paul Clemons
LAA,2023-09-17,Jeremy Riggs
LAA,2023-09-25,Todd Tichenor
LAA,2023-09-26,Alex Tosi
LAA,2023-09-27,Brian Knight
LAA,2023-09-29,Jeff Nelson
LAA,2023-09-30,Jose Navas
LAA,2023-10-01,Brian Walsh
AZ,2023-04-06,Ramon D
AZ,2023-04-07,Alfonso Márquez
